,Date,IDR,USD,Euro,GBP,RMB,Oil,Silver,Nikkei 225,IHSG,Hang Seng,NASDAQ,USD/IDR,US Bond,Gold/Silver,Gold/Oil
0,Jan 05 2001,2539630.57,267.4,280.97,178.76,2213.4,27.95,4.57,13867.61,418.82,15447.61,2407.65,9507.5,4.93,58.51203501094091,9.567084078711986
1,Jan 09 2001,2534497.5,267.0,283.86,179.04,2209.99,27.64,4.57,13610.51,415.27,15500.59,2441.3,9490.0,5.0,58.42450765864332,9.659913169319827
2,Jan 10 2001,2539834.39,266.3,283.06,178.64,2204.14,29.48,4.55,13432.65,417.52,15435.79,2524.18,9535.0,5.1,58.52747252747253,9.033242876526458
3,Jan 11 2001,2545084.31,264.15,278.08,176.82,2186.29,29.41,4.57,13201.07,410.38,15090.77,2640.57,9625.0,5.11,57.80087527352297,8.9816388983339
4,Jan 12 2001,2531651.38,263.7,277.93,178.31,2182.59,30.05,4.63,13347.74,407.37,15295.42,2626.5,9610.0,5.26,56.95464362850972,8.775374376039933
5,Jan 16 2001,2512274.54,264.45,281.06,179.82,2188.75,30.29,4.68,13584.45,415.09,15363.15,2618.55,9445.0,5.23,56.506410256410255,8.73060415978871
6,Jan 17 2001,2490075.0,263.5,283.21,178.87,2180.83,29.6,4.72,13667.63,414.67,15261.48,2682.78,9450.0,5.18,55.82627118644068,8.902027027027026
7,Jan 18 2001,2503304.08,264.9,280.47,179.51,2192.42,30.45,4.8,13873.92,416.35,15528.75,2768.49,9400.0,5.12,55.1875,8.69950738916256
8,Jan 19 2001,2503304.08,264.9,283.28,180.34,2192.42,32.19,4.76,13989.12,411.56,15933.55,2770.38,9475.0,5.17,55.65126050420168,8.229263746505126
9,Jan 22 2001,2501809.08,266.15,284.53,182.22,2203.24,32.19,4.79,14032.42,417.91,16099.27,2757.91,9400.0,5.23,55.56367432150313,8.268095681888786
10,Jan 23 2001,2501338.62,266.1,283.3,180.89,2202.93,29.57,4.79,13984.66,415.74,16044.21,2840.39,9400.0,5.29,55.553235908141964,8.998985458234698
