Date;IDR;USD;Euro;GBP;RMB;P-Index;C-Index
Sep 16 1999;2079187,45;255,9;246,01;157,58;2118,11;91,36;93,74
Sep 17 1999;2103299,42;255,1;245,19;157,15;2111,54;91,03;93,48
Sep 20 1999;2119819,95;255,4;245,32;157,52;2114,07;91,13;93,6
Sep 21 1999;2144571,04;258,85;247,09;158,69;2142,63;92,12;94,81
Sep 22 1999;2220461,18;263,4;250,79;160,8;2180,35;93,73;96,47
Sep 23 1999;2322974,34;264,35;253,4;161,26;2188,18;93,99;96,92
Sep 24 1999;2301750,00;270;257,95;164,43;2234,92;95,93;98,99
Sep 27 1999;2373888,26;281,1;269,15;170,91;2326,8;99,67;103,11
Sep 28 1999;2555212,50;301,5;287,14;182,76;2495,67;106,71;110,53
Sep 29 1999;2566520,00;307;289,4;186,77;2541,19;108,75;112,46
Sep 30 1999;2498145,00;299;280,75;181,56;2475,06;106;109,49
Oct 01 1999;2452312,50;307,5;287,41;185,74;2545,42;109,19;112,57
Oct 04 1999;2447268,75;312,75;292,29;189,06;2588,88;111,15;114,53
Oct 05 1999;2525880,00;325,5;304,72;196,92;2694,42;115,55;119,23
Oct 06 1999;2482350,00;318,25;297,24;192,11;2634,41;113,22;116,52
Oct 07 1999;2511977,50;323,5;301,41;195,72;2677,87;115,08;118,38
Oct 08 1999;2529431,25;323,25;304,15;195,49;2675,86;115,1;118,38
Oct 11 1999;2464151,25;317,75;298,64;192,31;2630,08;113,32;116,29
Oct 12 1999;2505956,25;320,25;298,49;193,55;2650,77;114,21;117,19
Oct 13 1999;2614218,75;321,75;298,97;194,65;2663,35;114,79;117,72
Oct 14 1999;2632200,00;321;297,72;193,72;2657,05;114,69;117,41
Oct 15 1999;2502318,75;315,75;290,1;189,08;2613,62;113,15;115,42
Oct 18 1999;2416062,50;311,75;287,38;186,76;2580,48;111,78;113,97
Oct 19 1999;2367675,00;309,5;286,65;185,38;2561,82;110,86;113,24
Oct 20 1999;2283312,50;307;284,87;184,16;2541,16;109,87;112,36
Oct 21 1999;2097235,24;302,85;280,18;180,7;2506,75;108,42;110,85
Oct 22 1999;2067659,33;302,4;282,83;181,8;2503,05;108,1;110,85
Oct 25 1999;2083800,00;302;282,85;181,65;2499,65;107,88;110,72
Oct 26 1999;2037749,33;296,4;279,91;179,21;2453,39;106,01;108,8
Oct 27 1999;1983344,00;290,6;276;176,42;2405,44;104,41;106,75
Oct 28 1999;2054493,75;296,25;281,74;180,68;2452,24;106,47;108,85
Oct 29 1999;2041356,50;299,1;284,56;182,28;2475,89;107,65;109,9
Nov 01 1999;1968068,26;291,35;277,66;177,41;2411,76;104,94;107,15
Nov 02 1999;1949478,75;290,75;277,09;176,58;2406,86;104,67;106,97
Nov 03 1999;1961340,00;291;277,65;176,98;2408,93;104,71;107,09
Nov 04 1999;1977532,00;290,6;278,22;177,31;2405,59;104,66;107,02
Nov 05 1999;1962717,17;289,7;278,24;178,4;2398,11;104,25;106,8
Nov 08 1999;1962982,50;288,25;277,94;178,25;2386,1;103,75;106,34
Nov 09 1999;1993091,25;290,75;279,46;179,28;2406,83;104,61;107,23
Nov 10 1999;2059898,75;295,75;283,42;181,92;2448,25;106,4;109,07
Nov 11 1999;2110480,00;296;284,45;182,43;2450,35;106,43;109,18
Nov 12 1999;2048943,75;291,25;282,25;180,45;2410,97;104,77;107,6
Nov 15 1999;2008663,83;290,9;282,24;179,56;2408,1;104,55;107,5
Nov 16 1999;2067106,25;294,25;285,46;181,85;2435,83;105,97;108,79
Nov 17 1999;2052612,82;293,65;282,55;180,71;2430,86;105,81;108,45
Nov 18 1999;2052262,98;293,6;284,58;181,59;2430,54;105,83;108,54
Nov 19 1999;2057718,75;293,75;285,39;181,64;2431,81;105,94;108,7
Nov 22 1999;2081993,31;294,9;285,53;181,89;2441,33;106,44;109,09
Nov 23 1999;2106016,25;297,25;288,79;182,78;2460,75;107,27;110,02
Nov 24 1999;2113737,50;297,5;291,75;184,44;2462,85;107,42;110,32
Nov 25 1999;2144003,30;298,4;292,69;184,75;2470,3;107,74;110,65
Nov 26 1999;2155129,94;296,85;293,42;184,9;2457,47;107,22;110,25
Nov 29 1999;2148037,50;292,25;290,36;182,54;2419,51;105,66;108,63
Nov 30 1999;2129767,43;291,35;289,35;182,93;2412,06;105,46;108,34
Dec 01 1999;2109348,54;289,15;286,88;181,01;2393,84;104,57;107,5
Dec 02 1999;2084940,00;286;285;178,85;2367,74;103,58;106,41
Dec 03 1999;2051351,25;282,75;282,35;176,56;2340,8;102,44;105,3
Dec 06 1999;1978255,45;276,1;270;170,66;2285,83;100,09;102,58
Dec 07 1999;2006411,25;279,25;273,03;171,96;2311,91;101,17;103,8
Dec 08 1999;2021434,90;280,95;274,18;172,81;2326,12;101,76;104,43
Dec 09 1999;2018565,00;279;274,12;171,8;2309,98;100,88;103,81
