Date;Hang Seng
Dec 05 2000;14573,21
Dec 06 2000;15098,95
Dec 07 2000;15011,52
Dec 08 2000;15189,33
Dec 11 2000;15408,54
Dec 12 2000;15329,60
Dec 13 2000;15621,73
Dec 14 2000;15496,99
Dec 15 2000;14975,53
Dec 18 2000;15024,53
Dec 19 2000;15188,04
Dec 20 2000;14930,72
Dec 21 2000;14659,32
Dec 22 2000;14738,21
Dec 27 2000;14748,36
Dec 28 2000;14796,55
Dec 29 2000;15095,53
Jan 02 2001;14869,94
Jan 03 2001;14589,58
Jan 04 2001;15235,03
Jan 05 2001;15447,61
Jan 08 2001;15436,53
Jan 09 2001;15500,59
Jan 10 2001;15435,79
Jan 11 2001;15090,77
Jan 12 2001;15295,42
Jan 15 2001;15293,76
Jan 16 2001;15363,15
Jan 17 2001;15261,48
Jan 18 2001;15528,75
Jan 19 2001;15933,55
Jan 22 2001;16099,27
Jan 23 2001;16044,21
Jan 29 2001;16099,82
Jan 30 2001;15893,07
Jan 31 2001;16102,35
Feb 01 2001;16163,99
Feb 02 2001;16071,29
Feb 05 2001;15830,84
Feb 06 2001;15913,24
Feb 07 2001;16049,47
Feb 08 2001;15909,40
Feb 09 2001;15873,28
Feb 12 2001;15693,11
Feb 13 2001;15842,72
Feb 14 2001;15860,42
Feb 15 2001;15756,37
Feb 16 2001;15630,31
Feb 19 2001;15490,96
Feb 20 2001;15527,36
Feb 21 2001;15351,51
Feb 22 2001;15098,64
Feb 23 2001;15280,56
Feb 26 2001;15230,22
Feb 27 2001;14834,73
Feb 28 2001;14787,87
Mar 01 2001;14360,56
Mar 02 2001;13966,43
Mar 05 2001;14135,26
Mar 06 2001;14321,05
Mar 07 2001;14177,36
Mar 08 2001;14208,95
Mar 09 2001;14194,35
Mar 12 2001;13776,72
Mar 13 2001;13493,03
Mar 14 2001;13330,84
Mar 15 2001;13504,17
Mar 16 2001;13522,04
Mar 19 2001;13457,69
Mar 20 2001;13223,86
Mar 21 2001;13154,44
Mar 22 2001;12621,85
Mar 23 2001;12583,36
Mar 26 2001;12950,49
Mar 27 2001;12707,90
Mar 28 2001;12851,41
Mar 29 2001;12677,89
Mar 30 2001;12760,64
Apr 02 2001;12727,30
Apr 03 2001;12584,22
Apr 04 2001;12063,71
Apr 06 2001;12386,61
Apr 09 2001;12202,10
Apr 10 2001;12213,67
Apr 11 2001;12706,43
Apr 12 2001;12989,47
Apr 17 2001;12606,45
Apr 18 2001;12972,80
Apr 19 2001;13548,95
Apr 20 2001;13448,13
Apr 23 2001;13311,50
Apr 24 2001;13274,61
Apr 25 2001;13249,55
Apr 26 2001;13293,11
Apr 27 2001;13386,04
May 02 2001;13814,24
May 03 2001;13718,14
May 04 2001;13390,99
May 07 2001;13600,78
May 08 2001;13540,81
May 09 2001;13585,14
May 10 2001;13604,80
May 11 2001;13636,61
May 14 2001;13259,17
May 15 2001;13250,09
May 16 2001;13335,95
May 17 2001;13637,87
May 18 2001;13459,18
May 21 2001;13721,27
May 22 2001;13877,95
May 23 2001;13839,10
May 24 2001;13810,60
May 25 2001;13753,99
May 28 2001;13739,07
May 29 2001;13629,61
May 30 2001;13420,13
May 31 2001;13174,41
Jun 01 2001;13141,38
Jun 04 2001;13207,49
Jun 05 2001;13451,87
Jun 06 2001;13576,01
Jun 07 2001;13703,43
Jun 08 2001;13808,89
Jun 11 2001;13675,49
Jun 12 2001;13526,68
Jun 13 2001;13523,31
Jun 14 2001;13248,89
Jun 15 2001;13102,50
Jun 18 2001;12948,78
Jun 19 2001;13133,66
Jun 20 2001;12918,71
Jun 21 2001;13187,45
Jun 22 2001;13174,02
Jun 26 2001;12961,97
Jun 27 2001;13004,21
Jun 28 2001;12827,82
