Date;NASDAQ
Sep 18 2000;3726,52
Sep 19 2000;3865,64
Sep 20 2000;3897,44
Sep 21 2000;3828,87
Sep 22 2000;3803,76
Sep 25 2000;3741,22
Sep 26 2000;3689,1
Sep 27 2000;3656,3
Sep 28 2000;3778,32
Sep 29 2000;3672,82
Oct 02 2000;3568,9
Oct 03 2000;3455,83
Oct 04 2000;3523,1
Oct 05 2000;3472,1
Oct 06 2000;3361,01
Oct 09 2000;3355,56
Oct 10 2000;3240,54
Oct 11 2000;3168,49
Oct 12 2000;3074,68
Oct 13 2000;3316,77
Oct 16 2000;3290,28
Oct 17 2000;3213,96
Oct 18 2000;3171,56
Oct 19 2000;3418,6
Oct 20 2000;3483,14
Oct 23 2000;3468,69
Oct 24 2000;3419,79
Oct 25 2000;3229,57
Oct 26 2000;3272,18
Oct 27 2000;3278,36
Oct 30 2000;3191,4
Oct 31 2000;3369,63
Nov 01 2000;3333,39
Nov 02 2000;3429,02
Nov 03 2000;3451,58
Nov 06 2000;3416,21
Nov 07 2000;3415,79
Nov 08 2000;3231,7
Nov 09 2000;3200,35
Nov 10 2000;3028,99
Nov 13 2000;2966,72
Nov 14 2000;3138,27
Nov 15 2000;3165,49
Nov 16 2000;3031,88
Nov 17 2000;3027,19
Nov 20 2000;2875,64
Nov 21 2000;2871,45
Nov 22 2000;2755,34
Nov 24 2000;2904,38
Nov 27 2000;2880,49
Nov 28 2000;2734,98
Nov 29 2000;2706,93
Nov 30 2000;2597,93
Dec 01 2000;2645,29
Dec 04 2000;2615,75
Dec 05 2000;2889,8
Dec 06 2000;2796,5
Dec 07 2000;2752,66
Dec 08 2000;2917,43
Dec 11 2000;3015,1
Dec 12 2000;2931,77
Dec 13 2000;2822,77
Dec 14 2000;2728,51
Dec 15 2000;2653,27
Dec 18 2000;2624,52
Dec 19 2000;2511,71
Dec 20 2000;2332,78
Dec 21 2000;2340,12
Dec 22 2000;2517,02
Dec 26 2000;2493,52
Dec 27 2000;2539,35
Dec 28 2000;2557,76
Dec 29 2000;2470,52
Jan 02 2001;2291,86
Jan 03 2001;2616,69
Jan 04 2001;2566,83
Jan 05 2001;2407,65
Jan 08 2001;2395,92
Jan 09 2001;2441,3
Jan 10 2001;2524,18
Jan 11 2001;2640,57
Jan 12 2001;2626,5
Jan 16 2001;2618,55
Jan 17 2001;2682,78
Jan 18 2001;2768,49
Jan 19 2001;2770,38
Jan 22 2001;2757,91
Jan 23 2001;2840,39
Jan 24 2001;2859,15
Jan 25 2001;2754,28
Jan 26 2001;2781,3
Jan 29 2001;2838,34
Jan 30 2001;2838,35
Jan 31 2001;2772,73
Feb 01 2001;2782,79
Feb 02 2001;2660,5
Feb 05 2001;2643,21
Feb 06 2001;2664,49
Feb 07 2001;2607,82
Feb 08 2001;2562,06
Feb 09 2001;2470,97
Feb 12 2001;2489,66
Feb 13 2001;2427,72
Feb 14 2001;2491,4
Feb 15 2001;2552,91
Feb 16 2001;2425,38
Feb 20 2001;2318,35
Feb 21 2001;2268,94
Feb 22 2001;2244,96
Feb 23 2001;2262,51
Feb 26 2001;2308,5
Feb 27 2001;2207,82
Feb 28 2001;2151,83
Mar 01 2001;2183,37
Mar 02 2001;2117,63
Mar 05 2001;2142,92
Mar 06 2001;2204,43
Mar 07 2001;2223,92
Mar 08 2001;2168,73
Mar 09 2001;2052,78
Mar 12 2001;1923,38
Mar 13 2001;2014,78
Mar 14 2001;1972,09
Mar 15 2001;1940,71
Mar 16 2001;1890,91
Mar 19 2001;1951,18
Mar 20 2001;1857,44
Mar 21 2001;1830,23
Mar 22 2001;1897,7
Mar 23 2001;1928,68
Mar 26 2001;1918,49
Mar 27 2001;1972,26
Mar 28 2001;1854,13
Mar 29 2001;1820,57
Mar 30 2001;1840,26
Apr 02 2001;1782,97
Apr 03 2001;1673
Apr 04 2001;1638,8
Apr 05 2001;1785
Apr 06 2001;1720,36
Apr 09 2001;1745,71
Apr 10 2001;1852,03
Apr 11 2001;1898,95
Apr 12 2001;1961,43
Apr 16 2001;1909,57
Apr 17 2001;1923,22
Apr 18 2001;2079,44
Apr 19 2001;2182,14
Apr 20 2001;2163,41
Apr 23 2001;2059,32
Apr 24 2001;2016,61
Apr 25 2001;2059,8
Apr 26 2001;2034,88
Apr 27 2001;2075,68
Apr 30 2001;2116,24
May 01 2001;2168,24
May 02 2001;2220,6
May 03 2001;2146,2
May 04 2001;2191,53
May 07 2001;2173,57
May 08 2001;2198,77
May 09 2001;2156,63
May 10 2001;2128,86
May 11 2001;2107,43
May 14 2001;2081,92
May 15 2001;2085,58
May 16 2001;2166,44
May 17 2001;2193,68
May 18 2001;2198,88
May 21 2001;2305,59
May 22 2001;2313,85
May 23 2001;2243,48
May 24 2001;2282,02
May 25 2001;2251,03
May 29 2001;2175,54
May 30 2001;2084,5
May 31 2001;2110,49
Jun 01 2001;2149,44
Jun 04 2001;2155,93
Jun 05 2001;2233,66
Jun 06 2001;2217,73
Jun 07 2001;2264
Jun 08 2001;2215,1
Jun 11 2001;2170,78
Jun 12 2001;2169,95
Jun 13 2001;2121,66
Jun 14 2001;2044,07
Jun 15 2001;2028,43
Jun 18 2001;1988,63
Jun 19 2001;1992,66
Jun 20 2001;2031,24
Jun 21 2001;2058,76
Jun 22 2001;2034,84
Jun 25 2001;2050,87
Jun 26 2001;2064,62
Jun 27 2001;2074,74
Jun 28 2001;2125,46
Jun 29 2001;2161,24
Jul 02 2001;2148,72
Jul 03 2001;2140,8
Jul 05 2001;2080,11
Jul 06 2001;2004,16
Jul 09 2001;2026,71
Jul 10 2001;1962,79
Jul 11 2001;1972,04
Jul 12 2001;2075,74
Jul 13 2001;2084,79
Jul 16 2001;2029,12
Jul 17 2001;2067,32
Jul 18 2001;2016,17
Jul 19 2001;2046,59
Jul 20 2001;2029,37
Jul 23 2001;1988,56
Jul 24 2001;1959,24
Jul 25 2001;1984,32
Jul 26 2001;2022,96
Jul 27 2001;2029,07
Jul 30 2001;2017,84
Jul 31 2001;2027,13
Aug 01 2001;2068,38
Aug 02 2001;2087,38
Aug 03 2001;2066,33
Aug 06 2001;2034,26
Aug 07 2001;2027,79
Aug 08 2001;1966,36
Aug 09 2001;1963,32
Aug 10 2001;1956,47
Aug 13 2001;1982,25
Aug 14 2001;1964,53
Aug 15 2001;1918,89
Aug 16 2001;1930,32
Aug 17 2001;1867,01
Aug 20 2001;1881,35
Aug 21 2001;1831,3
Aug 22 2001;1860,01
Aug 23 2001;1842,97
Aug 24 2001;1916,8
Aug 27 2001;1912,41
Aug 28 2001;1864,98
Aug 29 2001;1843,17
Aug 30 2001;1791,68
Aug 31 2001;1805,43
Sep 04 2001;1770,78
Sep 05 2001;1759,01
Sep 06 2001;1705,64
Sep 07 2001;1687,7
Sep 10 2001;1695,38
Sep 17 2001;1579,55
Sep 18 2001;1555,08
Sep 19 2001;1527,8
Sep 20 2001;1470,93
Sep 21 2001;1423,19
Sep 24 2001;1499,4
Sep 25 2001;1501,64
Sep 26 2001;1464,04
Sep 27 2001;1460,71
Sep 28 2001;1498,8
Oct 01 2001;1480,46
Oct 02 2001;1492,33
Oct 03 2001;1580,81
Oct 04 2001;1597,31
Oct 05 2001;1605,3
Oct 08 2001;1605,95
Oct 09 2001;1570,19
Oct 10 2001;1626,26
Oct 11 2001;1701,47
Oct 12 2001;1703,4
Oct 15 2001;1696,31
Oct 16 2001;1722,07
Oct 17 2001;1646,34
Oct 18 2001;1652,72
Oct 19 2001;1671,31
Oct 22 2001;1708,08
Oct 23 2001;1704,44
Oct 24 2001;1731,54
Oct 25 2001;1775,47
Oct 26 2001;1768,96
Oct 29 2001;1699,52
Oct 30 2001;1667,41
Oct 31 2001;1690,2
Nov 01 2001;1746,3
Nov 02 2001;1745,73
Nov 05 2001;1793,65
Nov 06 2001;1835,08
Nov 07 2001;1837,53
Nov 08 2001;1827,77
Nov 09 2001;1828,48
Nov 12 2001;1840,13
Nov 13 2001;1892,11
Nov 14 2001;1903,19
Nov 15 2001;1900,57
Nov 16 2001;1898,58
Nov 19 2001;1934,42
Nov 20 2001;1880,51
Nov 21 2001;1875,05
Nov 23 2001;1903,2
Nov 26 2001;1941,23
Nov 27 2001;1935,97
Nov 28 2001;1887,97
Nov 29 2001;1933,26
Nov 30 2001;1930,58
Dec 03 2001;1904,9
Dec 04 2001;1963,1
Dec 05 2001;2046,84
Dec 06 2001;2054,27
Dec 07 2001;2021,26
Dec 10 2001;1992,12
Dec 11 2001;2001,93
Dec 12 2001;2011,38
Dec 13 2001;1946,51
Dec 14 2001;1953,17
Dec 17 2001;1987,45
Dec 18 2001;2004,76
Dec 19 2001;1982,89
Dec 20 2001;1918,54
Dec 21 2001;1945,83
Dec 24 2001;1944,48
Dec 26 2001;1960,7
Dec 27 2001;1976,42
Dec 28 2001;1987,26
Dec 31 2001;1950,4
Jan 02 2002;1979,25
Jan 03 2002;2044,27
Jan 04 2002;2059,38
Jan 07 2002;2037,1
Jan 08 2002;2055,74
Jan 09 2002;2044,89
Jan 10 2002;2047,24
Jan 11 2002;2022,46
Jan 14 2002;1990,74
Jan 15 2002;2000,91
Jan 16 2002;1944,44
Jan 17 2002;1985,82
Jan 18 2002;1930,34
Jan 22 2002;1882,53
Jan 23 2002;1922,38
Jan 24 2002;1942,58
Jan 25 2002;1937,7
Jan 28 2002;1943,91
Jan 29 2002;1892,99
Jan 30 2002;1913,44
Jan 31 2002;1934,03
Feb 01 2002;1911,24
Feb 04 2002;1855,53
Feb 05 2002;1838,52
Feb 06 2002;1812,71
Feb 07 2002;1782,11
Feb 08 2002;1818,88
Feb 11 2002;1846,66
Feb 12 2002;1834,21
Feb 13 2002;1859,16
Feb 14 2002;1843,37
Feb 15 2002;1805,2
Feb 19 2002;1750,61
Feb 20 2002;1775,57
Feb 21 2002;1716,24
Feb 22 2002;1724,54
Feb 25 2002;1769,88
Feb 26 2002;1766,86
Feb 27 2002;1751,88
Feb 28 2002;1731,49
Mar 01 2002;1802,74
