Date;Silver
Nov 15 2019;16,96
Nov 14 2019;17,02
Nov 13 2019;16,96
Nov 12 2019;16,78
Nov 11 2019;16,87
Nov 08 2019;16,81
Nov 07 2019;17,12
Nov 06 2019;17,63
Nov 05 2019;17,60
Nov 04 2019;18,06
Nov 01 2019;18,13
Oct 31 2019;18,14
Oct 30 2019;17,88
Oct 29 2019;17,81
Oct 28 2019;17,87
Oct 25 2019;18,05
Oct 24 2019;17,81
Oct 23 2019;17,57
Oct 22 2019;17,53
Oct 21 2019;17,58
Oct 18 2019;17,55
Oct 17 2019;17,55
Oct 16 2019;17,40
Oct 15 2019;17,42
Oct 14 2019;17,66
Oct 11 2019;17,57
Oct 10 2019;17,51
Oct 09 2019;17,74
Oct 08 2019;17,74
Oct 07 2019;17,45
Oct 04 2019;17,56
Oct 03 2019;17,57
Oct 02 2019;17,57
Oct 01 2019;17,25
Sep 30 2019;17,01
Sep 27 2019;17,55
Sep 26 2019;17,81
Sep 25 2019;17,92
Sep 24 2019;18,61
Sep 23 2019;18,64
Sep 20 2019;18,00
Sep 19 2019;17,79
Sep 18 2019;17,75
Sep 17 2019;18,03
Sep 16 2019;17,86
Sep 13 2019;17,44
Sep 12 2019;18,11
Sep 11 2019;18,10
Sep 10 2019;18,02
Sep 09 2019;18,01
Sep 06 2019;18,18
Sep 05 2019;18,66
Sep 04 2019;19,59
Sep 03 2019;19,27
Sep 02 2019;18,48
Aug 30 2019;18,38
Aug 29 2019;18,27
Aug 28 2019;18,36
Aug 27 2019;18,20
Aug 26 2019;17,66
Aug 23 2019;17,44
Aug 22 2019;17,04
Aug 21 2019;17,12
Aug 20 2019;17,17
Aug 19 2019;16,88
Aug 16 2019;17,11
Aug 15 2019;17,28
Aug 14 2019;17,22
Aug 13 2019;16,98
Aug 12 2019;17,07
Aug 09 2019;16,97
Aug 08 2019;16,91
Aug 07 2019;17,11
Aug 06 2019;16,46
Aug 05 2019;16,40
Aug 02 2019;16,22
Aug 01 2019;16,34
Jul 31 2019;16,27
Jul 30 2019;16,59
Jul 29 2019;16,47
Jul 26 2019;16,40
Jul 25 2019;16,41
Jul 24 2019;16,60
Jul 23 2019;16,41
Jul 22 2019;16,37
Jul 19 2019;16,22
Jul 18 2019;16,35
Jul 17 2019;15,98
Jul 16 2019;15,57
Jul 15 2019;15,39
Jul 12 2019;15,23
Jul 11 2019;15,13
Jul 10 2019;15,25
Jul 09 2019;15,11
Jul 08 2019;15,04
Jul 05 2019;15,00
Jul 04 2019;15,29
Jul 03 2019;15,31
Jul 02 2019;15,32
Jul 01 2019;15,15
Jun 28 2019;15,32
Jun 27 2019;15,27
Jun 26 2019;15,26
Jun 25 2019;15,38
Jun 24 2019;15,44
Jun 21 2019;15,36
Jun 20 2019;15,43
Jun 19 2019;15,17
Jun 18 2019;15,02
Jun 17 2019;14,85
Jun 14 2019;14,88
Jun 13 2019;14,95
Jun 12 2019;14,77
Jun 11 2019;14,74
Jun 10 2019;14,70
Jun 07 2019;15,02
Jun 06 2019;14,90
Jun 05 2019;14,81
Jun 04 2019;14,83
Jun 03 2019;14,79
May 31 2019;14,58
May 30 2019;14,53
May 29 2019;14,43
May 28 2019;14,36
May 27 2019;14,60
May 24 2019;14,57
May 23 2019;14,60
May 22 2019;14,46
May 21 2019;14,46
May 20 2019;14,48
May 17 2019;14,40
May 16 2019;14,57
May 15 2019;14,81
May 14 2019;14,80
May 13 2019;14,78
May 10 2019;14,78
May 09 2019;14,77
May 08 2019;14,85
May 07 2019;14,92
May 06 2019;14,93
May 03 2019;14,94
May 02 2019;14,64
May 01 2019;14,69
Apr 30 2019;14,95
Apr 29 2019;14,92
Apr 26 2019;15,09
Apr 25 2019;14,95
Apr 24 2019;14,94
Apr 23 2019;14,83
Apr 22 2019;15,01
Apr 19 2019;14,96
Apr 18 2019;15,01
Apr 17 2019;15,01
Apr 16 2019;14,98
Apr 15 2019;15,01
Apr 12 2019;14,98
Apr 11 2019;14,97
Apr 10 2019;15,22
Apr 09 2019;15,23
Apr 08 2019;15,26
Apr 05 2019;15,11
Apr 04 2019;15,16
Apr 03 2019;15,15
Apr 02 2019;15,13
Apr 01 2019;15,12
Mar 29 2019;15,15
Mar 28 2019;15,02
Mar 27 2019;15,30
Mar 26 2019;15,44
Mar 25 2019;15,55
Mar 22 2019;15,43
Mar 21 2019;15,48
Mar 20 2019;15,46
Mar 19 2019;15,37
Mar 18 2019;15,46
Mar 15 2019;15,29
Mar 14 2019;15,19
Mar 13 2019;15,46
Mar 12 2019;15,45
Mar 11 2019;15,33
Mar 08 2019;15,33
Mar 07 2019;15,03
Mar 06 2019;15,08
Mar 05 2019;15,13
Mar 04 2019;15,08
Mar 01 2019;15,21
Feb 28 2019;15,61
Feb 27 2019;15,74
Feb 26 2019;15,94
Feb 25 2019;15,89
Feb 22 2019;15,92
Feb 21 2019;15,82
Feb 20 2019;16,06
Feb 19 2019;15,99
Feb 18 2019;15,81
Feb 15 2019;15,78
Feb 14 2019;15,63
Feb 13 2019;15,57
Feb 12 2019;15,71
Feb 11 2019;15,71
Feb 08 2019;15,83
Feb 07 2019;15,74
Feb 06 2019;15,68
Feb 05 2019;15,86
Feb 04 2019;15,87
Feb 01 2019;15,91
Jan 31 2019;16,07
Jan 30 2019;16,07
Jan 29 2019;15,84
Jan 28 2019;15,75
Jan 25 2019;15,75
Jan 24 2019;15,32
Jan 23 2019;15,35
Jan 22 2019;15,34
Jan 21 2019;15,27
Jan 18 2019;15,35
Jan 17 2019;15,52
Jan 16 2019;15,59
Jan 15 2019;15,58
Jan 14 2019;15,65
Jan 11 2019;15,60
Jan 10 2019;15,56
Jan 09 2019;15,75
Jan 08 2019;15,66
Jan 07 2019;15,65
Jan 04 2019;15,69
Jan 03 2019;15,74
Jan 02 2019;15,52
Jan 01 2019;15,49
Dec 31 2018;15,50
Dec 28 2018;15,39
Dec 27 2018;15,24
Dec 26 2018;15,03
Dec 25 2018;14,78
Dec 24 2018;14,78
Dec 21 2018;14,62
Dec 20 2018;14,76
Dec 19 2018;14,60
Dec 18 2018;14,64
Dec 17 2018;14,66
Dec 14 2018;14,57
Dec 13 2018;14,76
Dec 12 2018;14,75
Dec 11 2018;14,55
Dec 10 2018;14,53
Dec 07 2018;14,62
Dec 06 2018;14,48
Dec 05 2018;14,51
Dec 04 2018;14,52
Dec 03 2018;14,39
Nov 30 2018;14,18
Nov 29 2018;14,31
Nov 28 2018;14,32
Nov 27 2018;14,14
Nov 26 2018;14,23
Nov 23 2018;14,29
Nov 22 2018;14,51
Nov 21 2018;14,49
Nov 20 2018;14,32
Nov 19 2018;14,43
Nov 16 2018;14,41
Nov 15 2018;14,29
Nov 14 2018;14,14
Nov 13 2018;14,00
Nov 12 2018;13,99
Nov 09 2018;14,16
Nov 08 2018;14,43
Nov 07 2018;14,57
Nov 06 2018;14,54
Nov 05 2018;14,65
Nov 02 2018;14,75
Nov 01 2018;14,79
Oct 31 2018;14,26
Oct 30 2018;14,47
Oct 29 2018;14,48
Oct 26 2018;14,64
Oct 25 2018;14,64
Oct 24 2018;14,69
Oct 23 2018;14,73
Oct 22 2018;14,64
Oct 19 2018;14,64
Oct 18 2018;14,58
Oct 17 2018;14,61
Oct 16 2018;14,68
Oct 15 2018;14,69
Oct 12 2018;14,60
Oct 11 2018;14,59
Oct 10 2018;14,30
Oct 09 2018;14,40
Oct 08 2018;14,37
Oct 05 2018;14,63
Oct 04 2018;14,59
Oct 03 2018;14,63
Oct 02 2018;14,69
Oct 01 2018;14,50
Sep 28 2018;14,65
Sep 27 2018;14,24
Sep 26 2018;14,34
Sep 25 2018;14,46
Sep 24 2018;14,26
Sep 21 2018;14,30
Sep 20 2018;14,31
Sep 19 2018;14,25
Sep 18 2018;14,15
Sep 17 2018;14,20
Sep 14 2018;14,07
Sep 13 2018;14,20
Sep 12 2018;14,25
Sep 11 2018;14,14
Sep 10 2018;14,19
Sep 07 2018;14,14
Sep 06 2018;14,16
Sep 05 2018;14,19
Sep 04 2018;14,13
Sep 03 2018;14,51
Aug 31 2018;14,53
Aug 30 2018;14,57
Aug 29 2018;14,76
Aug 28 2018;14,71
Aug 27 2018;14,90
Aug 24 2018;14,82
Aug 23 2018;14,50
Aug 22 2018;14,77
Aug 21 2018;14,78
Aug 20 2018;14,76
Aug 17 2018;14,80
Aug 16 2018;14,66
Aug 15 2018;14,45
Aug 14 2018;14,99
Aug 13 2018;15,00
Aug 10 2018;15,31
Aug 09 2018;15,46
Aug 08 2018;15,42
Aug 07 2018;15,38
Aug 06 2018;15,31
Aug 03 2018;15,42
Aug 02 2018;15,34
Aug 01 2018;15,39
Jul 31 2018;15,54
Jul 30 2018;15,51
Jul 27 2018;15,50
Jul 26 2018;15,40
Jul 25 2018;15,60
Jul 24 2018;15,48
Jul 23 2018;15,40
Jul 20 2018;15,52
Jul 19 2018;15,31
Jul 18 2018;15,57
Jul 17 2018;15,59
Jul 16 2018;15,79
Jul 13 2018;15,82
Jul 12 2018;15,95
Jul 11 2018;15,79
Jul 10 2018;16,08
Jul 09 2018;16,12
Jul 06 2018;16,04
Jul 05 2018;16,02
Jul 04 2018;16,08
Jul 03 2018;16,05
Jul 02 2018;15,86
Jun 29 2018;16,12
Jun 28 2018;16,00
Jun 27 2018;16,05
Jun 26 2018;16,30
Jun 25 2018;16,34
Jun 22 2018;16,48
Jun 21 2018;16,36
Jun 20 2018;16,29
Jun 19 2018;16,32
Jun 18 2018;16,43
Jun 15 2018;16,56
Jun 14 2018;17,18
Jun 13 2018;17,04
Jun 12 2018;16,86
Jun 11 2018;16,93
Jun 08 2018;16,78
Jun 07 2018;16,71
Jun 06 2018;16,69
Jun 05 2018;16,50
Jun 04 2018;16,41
Jun 01 2018;16,40
May 31 2018;16,38
May 30 2018;16,51
May 29 2018;16,42
May 28 2018;16,48
May 25 2018;16,51
May 24 2018;16,66
May 23 2018;16,45
May 22 2018;16,55
May 21 2018;16,52
May 18 2018;16,46
May 17 2018;16,44
May 16 2018;16,39
May 15 2018;16,27
May 14 2018;16,53
May 11 2018;16,67
May 10 2018;16,72
May 09 2018;16,53
May 08 2018;16,48
May 07 2018;16,49
May 04 2018;16,52
May 03 2018;16,45
May 02 2018;16,37
May 01 2018;16,16
Apr 30 2018;16,34
Apr 27 2018;16,53
Apr 26 2018;16,52
Apr 25 2018;16,55
Apr 24 2018;16,74
Apr 23 2018;16,56
Apr 20 2018;17,14
Apr 19 2018;17,25
Apr 18 2018;17,20
Apr 17 2018;16,78
Apr 16 2018;16,65
Apr 13 2018;16,66
Apr 12 2018;16,46
Apr 11 2018;16,66
Apr 10 2018;16,57
Apr 09 2018;16,49
Apr 06 2018;16,39
Apr 05 2018;16,40
Apr 04 2018;16,32
Apr 03 2018;16,42
Apr 02 2018;16,64
Mar 29 2018;16,37
Mar 28 2018;16,31
Mar 27 2018;16,53
Mar 26 2018;16,70
Mar 23 2018;16,57
Mar 22 2018;16,40
Mar 21 2018;16,57
Mar 20 2018;16,20
Mar 19 2018;16,34
Mar 16 2018;16,35
Mar 15 2018;16,40
Mar 14 2018;16,54
Mar 13 2018;16,59
Mar 12 2018;16,54
Mar 09 2018;16,60
Mar 08 2018;16,50
Mar 07 2018;16,50
Mar 06 2018;16,76
Mar 05 2018;16,43
Mar 02 2018;16,51
Mar 01 2018;16,47
Feb 28 2018;16,41
Feb 27 2018;16,42
Feb 26 2018;16,66
Feb 23 2018;16,54
Feb 22 2018;16,62
Feb 21 2018;16,49
Feb 20 2018;16,47
Feb 19 2018;16,66
Feb 16 2018;16,67
Feb 15 2018;16,88
Feb 14 2018;16,87
Feb 13 2018;16,57
Feb 12 2018;16,55
Feb 09 2018;16,36
Feb 08 2018;16,42
Feb 07 2018;16,38
Feb 06 2018;16,64
Feb 05 2018;16,74
Feb 02 2018;16,60
Feb 01 2018;17,25
Jan 31 2018;17,33
Jan 30 2018;17,13
Jan 29 2018;17,16
Jan 26 2018;17,42
Jan 25 2018;17,30
Jan 24 2018;17,57
Jan 23 2018;17,05
Jan 22 2018;17,01
Jan 19 2018;17,03
Jan 18 2018;16,95
Jan 17 2018;17,01
Jan 16 2018;17,20
Jan 15 2018;17,36
Jan 12 2018;17,26
Jan 11 2018;17,00
Jan 10 2018;16,97
Jan 09 2018;16,97
Jan 08 2018;17,14
Jan 05 2018;17,23
Jan 04 2018;17,23
Jan 03 2018;17,13
Jan 02 2018;17,19
Jan 01 2018;17,01
Dec 29 2017;16,95
Dec 28 2017;16,84
Dec 27 2017;16,69
Dec 26 2017;16,54
Dec 25 2017;16,38
Dec 22 2017;16,37
Dec 21 2017;16,13
Dec 20 2017;16,18
Dec 19 2017;16,15
Dec 18 2017;16,14
Dec 15 2017;16,06
Dec 14 2017;15,90
Dec 13 2017;16,07
Dec 12 2017;15,73
Dec 11 2017;15,71
Dec 08 2017;15,84
Dec 07 2017;15,73
Dec 06 2017;15,97
Dec 05 2017;16,12
Dec 04 2017;16,35
Dec 01 2017;16,44
Nov 30 2017;16,45
Nov 29 2017;16,53
Nov 28 2017;16,85
Nov 27 2017;17,05
Nov 24 2017;17,01
Nov 23 2017;17,09
Nov 22 2017;17,15
Nov 21 2017;16,97
Nov 20 2017;16,93
Nov 17 2017;17,31
Nov 16 2017;17,08
Nov 15 2017;16,99
Nov 14 2017;17,04
Nov 13 2017;17,05
Nov 10 2017;16,90
Nov 09 2017;17,00
Nov 08 2017;17,04
Nov 07 2017;16,96
Nov 06 2017;17,23
Nov 03 2017;16,85
Nov 02 2017;17,11
Nov 01 2017;17,15
Oct 31 2017;16,71
Oct 30 2017;16,86
Oct 27 2017;16,86
Oct 26 2017;16,79
Oct 25 2017;16,96
Oct 24 2017;16,97
Oct 23 2017;17,09
Oct 20 2017;17,04
Oct 19 2017;17,25
Oct 18 2017;17,01
Oct 17 2017;17,03
Oct 16 2017;17,23
Oct 13 2017;17,40
Oct 12 2017;17,22
Oct 11 2017;17,17
Oct 10 2017;17,12
Oct 09 2017;16,96
Oct 06 2017;16,82
Oct 05 2017;16,62
Oct 04 2017;16,63
Oct 03 2017;16,64
Oct 02 2017;16,59
Sep 29 2017;16,65
Sep 28 2017;16,86
Sep 27 2017;16,77
Sep 26 2017;16,77
Sep 25 2017;17,19
Sep 22 2017;17,00
Sep 21 2017;16,98
Sep 20 2017;17,17
Sep 19 2017;17,33
Sep 18 2017;17,22
Sep 15 2017;17,59
Sep 14 2017;17,79
Sep 13 2017;17,77
Sep 12 2017;17,93
Sep 11 2017;17,81
Sep 08 2017;17,97
Sep 07 2017;18,12
Sep 06 2017;17,87
Sep 05 2017;17,90
Sep 04 2017;17,92
Sep 01 2017;17,73
Aug 31 2017;17,61
Aug 30 2017;17,42
Aug 29 2017;17,39
Aug 28 2017;17,45
Aug 25 2017;17,07
Aug 24 2017;16,98
Aug 23 2017;17,07
Aug 22 2017;17,00
Aug 21 2017;17,02
Aug 18 2017;16,98
Aug 17 2017;17,04
Aug 16 2017;17,12
Aug 15 2017;16,64
Aug 14 2017;17,06
Aug 11 2017;17,11
Aug 10 2017;17,12
Aug 09 2017;16,94
Aug 08 2017;16,46
Aug 07 2017;16,27
Aug 04 2017;16,28
Aug 03 2017;16,66
Aug 02 2017;16,59
Aug 01 2017;16,72
Jul 31 2017;16,83
Jul 28 2017;16,71
Jul 27 2017;16,57
Jul 26 2017;16,66
Jul 25 2017;16,50
Jul 24 2017;16,49
Jul 21 2017;16,51
Jul 20 2017;16,33
Jul 19 2017;16,28
Jul 18 2017;16,29
Jul 17 2017;16,11
Jul 14 2017;15,99
Jul 13 2017;15,70
Jul 12 2017;15,92
Jul 11 2017;15,82
Jul 10 2017;15,66
Jul 07 2017;15,62
Jul 06 2017;16,05
Jul 05 2017;16,09
Jul 04 2017;16,10
Jul 03 2017;16,14
Jun 30 2017;16,61
Jun 29 2017;16,63
Jun 28 2017;16,81
Jun 27 2017;16,70
Jun 26 2017;16,60
Jun 23 2017;16,73
Jun 22 2017;16,57
Jun 21 2017;16,48
Jun 20 2017;16,51
Jun 19 2017;16,50
