,Date,IDR,USD,Euro,GBP,RMB,IHSG,Hang Seng,NASDAQ
0,Jan 05 2001,2539630.57,267.4,280.97,178.76,2213.4,418.82,15447.61,2407.65
1,Jan 09 2001,2534497.5,267.0,283.86,179.04,2209.99,415.27,15500.59,2441.3
2,Jan 10 2001,2539834.39,266.3,283.06,178.64,2204.14,417.52,15435.79,2524.18
3,Jan 11 2001,2545084.31,264.15,278.08,176.82,2186.29,410.38,15090.77,2640.57
4,Jan 12 2001,2531651.38,263.7,277.93,178.31,2182.59,407.37,15295.42,2626.5
5,Jan 16 2001,2512274.54,264.45,281.06,179.82,2188.75,415.09,15363.15,2618.55
6,Jan 17 2001,2490075.0,263.5,283.21,178.87,2180.83,414.67,15261.48,2682.78
7,Jan 18 2001,2503304.08,264.9,280.47,179.51,2192.42,416.35,15528.75,2768.49
8,Jan 19 2001,2503304.08,264.9,283.28,180.34,2192.42,411.56,15933.55,2770.38
9,Jan 22 2001,2501809.08,266.15,284.53,182.22,2203.24,417.91,16099.27,2757.91
10,Jan 23 2001,2501338.62,266.1,283.3,180.89,2202.93,415.74,16044.21,2840.39
11,Jan 29 2001,2483931.12,262.85,286.17,180.38,2176.03,413.05,16099.82,2838.34
12,Jan 30 2001,2501127.54,264.95,286.59,181.4,2193.41,416.32,15893.07,2838.35
13,Jan 31 2001,2499525.0,264.5,284.41,181.03,2189.56,425.61,16102.35,2772.73
14,Feb 01 2001,2553380.07,267.65,284.64,181.03,2215.39,430.58,16163.99,2782.79
15,Feb 02 2001,2546984.53,266.7,285.73,181.6,2207.58,451.98,16071.29,2660.5
16,Feb 05 2001,2561592.03,265.45,282.39,179.94,2197.13,458.95,15830.84,2643.21
17,Feb 06 2001,2531114.03,262.7,282.02,179.93,2174.26,450.11,15913.24,2664.49
18,Feb 07 2001,2538343.96,263.15,282.17,180.04,2177.96,444.33,16049.47,2607.82
19,Feb 08 2001,2537335.55,262.95,286.22,181.93,2176.25,440.78,15909.4,2562.06
20,Feb 09 2001,2493089.81,259.9,281.19,179.63,2151.04,427.91,15873.28,2470.97
21,Feb 13 2001,2505807.5,260.75,283.02,179.59,2158.1,426.17,15842.72,2427.72
22,Feb 14 2001,2499050.63,260.25,283.34,178.22,2153.93,423.21,15860.42,2491.4
23,Feb 15 2001,2482078.13,258.55,286.13,178.29,2140.07,440.22,15756.37,2552.91
24,Feb 16 2001,2484392.03,257.45,281.12,177.35,2130.91,432.08,15630.31,2425.38
25,Feb 20 2001,2463459.38,256.25,281.93,177.38,2120.9,433.68,15527.36,2318.35
26,Feb 21 2001,2477278.75,257.5,282.28,178.18,2131.38,439.9,15351.51,2268.94
27,Feb 22 2001,2493759.49,258.85,285.14,178.91,2142.47,437.03,15098.64,2244.96
28,Feb 23 2001,2522457.78,260.45,286.74,179.76,2155.85,438.65,15280.56,2262.51
29,Feb 26 2001,2593177.52,263.2,289.33,182.59,2178.66,432.15,15230.22,2308.5
30,Feb 27 2001,2645436.07,268.3,292.04,186.05,2221.01,433.31,14834.73,2207.82
31,Feb 28 2001,2627661.27,266.7,290.02,184.92,2207.82,428.3,14787.87,2151.83
32,Mar 01 2001,2626209.56,266.35,286.49,183.11,2204.79,424.03,14360.56,2183.37
33,Mar 02 2001,2598111.05,263.1,281.24,178.48,2177.99,426.13,13966.43,2117.63
34,Mar 06 2001,2587076.55,261.85,281.44,178.46,2167.54,431.52,14321.05,2204.43
35,Mar 07 2001,2573917.79,260.65,281.08,178.36,2157.48,430.55,14177.36,2223.92
36,Mar 08 2001,2616725.28,263.65,282.92,179.56,2182.23,428.04,14208.95,2168.73
37,Mar 09 2001,2739817.02,269.8,289.52,183.81,2233.24,414.11,14194.35,2052.78
38,Mar 12 2001,2861250.0,272.5,293.26,185.87,2255.86,396.61,13776.72,1923.38
39,Mar 13 2001,2770421.74,269.3,293.58,185.4,2229.34,385.91,13493.03,2014.78
40,Mar 14 2001,2680714.51,263.85,289.4,182.17,2184.1,389.19,13330.84,1972.09
41,Mar 15 2001,2620498.05,262.05,289.05,181.48,2169.14,386.86,13504.17,1940.71
42,Mar 16 2001,2689120.0,260.7,290.73,182.33,2157.84,380.51,13522.04,1890.91
43,Mar 19 2001,2717013.36,260.55,290.14,182.71,2156.62,367.14,13457.69,1951.18
44,Mar 21 2001,2733970.0,262.0,291.92,183.31,2168.6,369.07,13154.44,1830.23
45,Mar 22 2001,2714653.23,261.15,295.52,184.0,2161.49,363.18,12621.85,1897.7
46,Mar 23 2001,2729695.73,262.85,294.31,183.89,2175.69,371.47,12583.36,1928.68
47,Mar 27 2001,2731350.0,262.0,291.69,182.32,2168.65,369.3,12707.9,1972.26
