Date;US Bond
Nov 15 2019;1,84
Nov 14 2019;1,82
Nov 13 2019;1,89
Nov 12 2019;1,93
Nov 11 2019;1,92
Nov 08 2019;1,95
Nov 07 2019;1,93
Nov 06 2019;1,83
Nov 05 2019;1,86
Nov 04 2019;1,78
Nov 03 2019;1,71
Nov 01 2019;1,71
Oct 31 2019;1,69
Oct 30 2019;1,78
Oct 29 2019;1,84
Oct 28 2019;1,85
Oct 27 2019;1,81
Oct 25 2019;1,80
Oct 24 2019;1,77
Oct 23 2019;1,77
Oct 22 2019;1,77
Oct 21 2019;1,80
Oct 20 2019;1,74
Oct 18 2019;1,75
Oct 17 2019;1,75
Oct 16 2019;1,75
Oct 15 2019;1,77
Oct 14 2019;1,72
Oct 11 2019;1,73
Oct 10 2019;1,67
Oct 09 2019;1,59
Oct 08 2019;1,53
Oct 07 2019;1,57
Oct 06 2019;1,52
Oct 04 2019;1,53
Oct 03 2019;1,53
Oct 02 2019;1,60
Oct 01 2019;1,64
Sep 30 2019;1,67
Sep 29 2019;1,68
Sep 27 2019;1,69
Sep 26 2019;1,70
Sep 25 2019;1,74
Sep 24 2019;1,65
Sep 23 2019;1,72
Sep 22 2019;1,72
Sep 20 2019;1,72
Sep 19 2019;1,79
Sep 18 2019;1,80
Sep 17 2019;1,81
Sep 16 2019;1,84
Sep 15 2019;1,90
Sep 13 2019;1,90
Sep 12 2019;1,78
Sep 11 2019;1,75
Sep 10 2019;1,74
Sep 09 2019;1,65
Sep 08 2019;1,56
Sep 06 2019;1,56
Sep 05 2019;1,57
Sep 04 2019;1,47
Sep 03 2019;1,46
Sep 02 2019;1,51
Aug 30 2019;1,50
Aug 29 2019;1,50
Aug 28 2019;1,47
Aug 27 2019;1,47
Aug 26 2019;1,54
Aug 25 2019;1,48
Aug 23 2019;1,53
Aug 22 2019;1,61
Aug 21 2019;1,59
Aug 20 2019;1,55
Aug 19 2019;1,61
Aug 18 2019;1,57
Aug 16 2019;1,56
Aug 15 2019;1,50
Aug 14 2019;1,58
Aug 13 2019;1,70
Aug 12 2019;1,64
Aug 11 2019;1,75
Aug 09 2019;1,75
Aug 08 2019;1,72
Aug 07 2019;1,72
Aug 06 2019;1,72
Aug 05 2019;1,72
Aug 04 2019;1,85
Aug 02 2019;1,84
Aug 01 2019;1,90
Jul 31 2019;2,01
Jul 30 2019;2,06
Jul 29 2019;2,06
Jul 28 2019;2,07
Jul 26 2019;2,07
Jul 25 2019;2,08
Jul 24 2019;2,05
Jul 23 2019;2,08
Jul 22 2019;2,05
Jul 21 2019;2,06
Jul 19 2019;2,06
Jul 18 2019;2,03
Jul 17 2019;2,04
Jul 16 2019;2,11
Jul 15 2019;2,09
Jul 14 2019;2,12
Jul 12 2019;2,12
Jul 11 2019;2,14
Jul 10 2019;2,06
Jul 09 2019;2,07
Jul 08 2019;2,05
Jul 07 2019;2,04
Jul 05 2019;2,04
Jul 04 2019;1,95
Jul 03 2019;1,95
Jul 02 2019;1,98
Jul 01 2019;2,03
Jun 30 2019;2,05
Jun 28 2019;2,01
Jun 27 2019;2,01
Jun 26 2019;2,05
Jun 25 2019;1,99
Jun 24 2019;2,02
Jun 23 2019;2,06
Jun 21 2019;2,06
Jun 20 2019;2,02
Jun 19 2019;2,03
Jun 18 2019;2,06
Jun 17 2019;2,09
Jun 16 2019;2,09
Jun 14 2019;2,08
Jun 13 2019;2,09
Jun 12 2019;2,12
Jun 11 2019;2,15
Jun 10 2019;2,15
Jun 09 2019;2,12
Jun 07 2019;2,08
Jun 06 2019;2,12
Jun 05 2019;2,13
Jun 04 2019;2,12
Jun 03 2019;2,08
Jun 02 2019;2,13
May 31 2019;2,13
May 30 2019;2,22
May 29 2019;2,26
May 28 2019;2,27
May 27 2019;2,31
May 24 2019;2,32
May 23 2019;2,32
May 22 2019;2,38
May 21 2019;2,43
May 20 2019;2,42
May 19 2019;2,40
May 17 2019;2,39
May 16 2019;2,39
May 15 2019;2,38
May 14 2019;2,41
May 13 2019;2,40
May 12 2019;2,44
May 10 2019;2,47
May 09 2019;2,45
May 08 2019;2,49
May 07 2019;2,45
May 06 2019;2,50
May 05 2019;2,53
May 03 2019;2,53
May 02 2019;2,55
May 01 2019;2,50
Apr 30 2019;2,50
Apr 29 2019;2,53
Apr 26 2019;2,50
Apr 25 2019;2,53
Apr 24 2019;2,52
Apr 23 2019;2,57
Apr 22 2019;2,59
Apr 21 2019;2,56
Apr 18 2019;2,56
Apr 17 2019;2,59
Apr 16 2019;2,59
Apr 15 2019;2,56
Apr 14 2019;2,56
Apr 12 2019;2,56
Apr 11 2019;2,50
Apr 10 2019;2,47
Apr 09 2019;2,50
Apr 08 2019;2,52
Apr 07 2019;2,50
Apr 05 2019;2,50
Apr 04 2019;2,51
Apr 03 2019;2,53
Apr 02 2019;2,47
Apr 01 2019;2,50
Mar 31 2019;2,43
Mar 29 2019;2,41
Mar 28 2019;2,39
Mar 27 2019;2,38
Mar 26 2019;2,43
Mar 25 2019;2,41
Mar 24 2019;2,45
Mar 22 2019;2,44
Mar 21 2019;2,54
Mar 20 2019;2,53
Mar 19 2019;2,62
Mar 18 2019;2,61
Mar 17 2019;2,59
Mar 15 2019;2,59
Mar 14 2019;2,63
Mar 13 2019;2,63
Mar 12 2019;2,60
Mar 11 2019;2,64
Mar 10 2019;2,63
Mar 08 2019;2,63
Mar 07 2019;2,64
Mar 06 2019;2,69
Mar 05 2019;2,72
Mar 04 2019;2,72
Mar 03 2019;2,77
Mar 01 2019;2,76
Feb 28 2019;2,72
Feb 27 2019;2,69
Feb 26 2019;2,64
Feb 25 2019;2,67
Feb 24 2019;2,67
Feb 22 2019;2,65
Feb 21 2019;2,70
Feb 20 2019;2,65
Feb 19 2019;2,64
Feb 18 2019;2,67
Feb 15 2019;2,66
Feb 14 2019;2,66
Feb 13 2019;2,71
Feb 12 2019;2,69
Feb 11 2019;2,65
Feb 10 2019;2,63
Feb 08 2019;2,63
Feb 07 2019;2,66
Feb 06 2019;2,70
Feb 05 2019;2,70
Feb 04 2019;2,73
Feb 03 2019;2,69
Feb 01 2019;2,68
Jan 31 2019;2,63
Jan 30 2019;2,68
Jan 29 2019;2,71
Jan 28 2019;2,75
Jan 27 2019;2,76
Jan 25 2019;2,76
Jan 24 2019;2,72
Jan 23 2019;2,75
Jan 22 2019;2,74
Jan 21 2019;2,77
Jan 18 2019;2,79
Jan 17 2019;2,75
Jan 16 2019;2,73
Jan 15 2019;2,72
Jan 14 2019;2,71
Jan 13 2019;2,70
Jan 11 2019;2,70
Jan 10 2019;2,75
Jan 09 2019;2,71
Jan 08 2019;2,73
Jan 07 2019;2,70
Jan 06 2019;2,67
Jan 04 2019;2,67
Jan 03 2019;2,55
Jan 02 2019;2,63
Jan 01 2019;2,69
Dec 31 2018;2,69
Dec 30 2018;2,72
Dec 28 2018;2,72
Dec 27 2018;2,77
Dec 26 2018;2,81
Dec 25 2018;2,75
Dec 24 2018;2,74
Dec 23 2018;2,79
Dec 21 2018;2,79
Dec 20 2018;2,81
Dec 19 2018;2,76
Dec 18 2018;2,82
Dec 17 2018;2,86
Dec 16 2018;2,89
Dec 14 2018;2,90
Dec 13 2018;2,91
Dec 12 2018;2,91
Dec 11 2018;2,88
Dec 10 2018;2,86
Dec 09 2018;2,83
Dec 07 2018;2,86
Dec 06 2018;2,89
Dec 05 2018;2,92
Dec 04 2018;2,92
Dec 03 2018;2,97
