Date;USD/IDR
Nov 20 2019;14094,5
Nov 19 2019;14090
Nov 18 2019;14076,5
Nov 15 2019;14073
Nov 14 2019;14085
Nov 13 2019;14081
Nov 12 2019;14055
Nov 11 2019;14063
Nov 08 2019;14014
Nov 07 2019;13994,5
Nov 06 2019;14015
Nov 05 2019;13967,5
Nov 04 2019;14015
Nov 01 2019;14035
Oct 31 2019;14037
Oct 30 2019;14027
Oct 29 2019;14025
Oct 28 2019;14025
Oct 25 2019;14035
Oct 24 2019;14059
Oct 23 2019;14029
Oct 22 2019;14040
Oct 21 2019;14078
Oct 18 2019;14144,5
Oct 17 2019;14148
Oct 16 2019;14169
Oct 15 2019;14165
Oct 14 2019;14139
Oct 11 2019;14128
Oct 10 2019;14151,5
Oct 09 2019;14170
Oct 08 2019;14155
Oct 07 2019;14162,5
Oct 04 2019;14135
Oct 03 2019;14172,5
Oct 02 2019;14195
Oct 01 2019;14212,5
Sep 30 2019;14195
Sep 27 2019;14165
Sep 26 2019;14177,5
Sep 25 2019;14150
Sep 24 2019;14112,5
Sep 23 2019;14085
Sep 20 2019;14055
Sep 19 2019;14060
Sep 18 2019;14060
Sep 17 2019;14095
Sep 16 2019;14040
Sep 13 2019;13965
Sep 12 2019;13990
Sep 11 2019;14060
Sep 10 2019;14050
Sep 09 2019;14031
Sep 06 2019;14095
Sep 05 2019;14150
Sep 04 2019;14152,5
Sep 03 2019;14225
Sep 02 2019;14194
Aug 30 2019;14185
Aug 29 2019;14237,5
Aug 28 2019;14255
Aug 27 2019;14255
Aug 26 2019;14240
Aug 23 2019;14212,5
Aug 22 2019;14235
Aug 21 2019;14240
Aug 20 2019;14260
Aug 19 2019;14235
Aug 16 2019;14235
Aug 15 2019;14267,5
Aug 14 2019;14245
Aug 13 2019;14317,5
Aug 12 2019;14247,5
Aug 09 2019;14190
Aug 08 2019;14208
Aug 07 2019;14222,5
Aug 06 2019;14265
Aug 05 2019;14255
Aug 02 2019;14180
Aug 01 2019;14116
Jul 31 2019;14017
Jul 30 2019;14020
Jul 29 2019;14020
Jul 26 2019;14004
Jul 25 2019;13977,5
Jul 24 2019;13993
Jul 23 2019;13984
Jul 22 2019;13945
Jul 19 2019;13935
Jul 18 2019;13960
Jul 17 2019;13980
Jul 16 2019;13935
Jul 15 2019;13919,5
Jul 12 2019;14007
Jul 11 2019;14065
Jul 10 2019;14130
Jul 09 2019;14130
Jul 08 2019;14110
Jul 05 2019;14082,5
Jul 04 2019;14140
Jul 03 2019;14117,5
Jul 02 2019;14137,5
Jul 01 2019;14112,5
Jun 28 2019;14127,5
Jun 27 2019;14140
Jun 26 2019;14175
Jun 25 2019;14125
Jun 24 2019;14140
Jun 21 2019;14155
Jun 20 2019;14182,5
Jun 19 2019;14269,5
Jun 18 2019;14322,5
Jun 17 2019;14335
Jun 14 2019;14325
Jun 13 2019;14280
Jun 12 2019;14235
Jun 11 2019;14237,5
Jun 10 2019;14250
Jun 07 2019;14275
Jun 06 2019;14275
Jun 05 2019;14275
Jun 04 2019;14275
Jun 03 2019;14275
May 31 2019;14275
May 30 2019;14400
May 29 2019;14400
May 28 2019;14375
May 27 2019;14380
May 24 2019;14392,5
May 23 2019;14460
May 22 2019;14525
May 21 2019;14480
May 20 2019;14455
May 17 2019;14450
May 16 2019;14450
May 15 2019;14460
May 14 2019;14430
May 13 2019;14415
May 10 2019;14325
May 09 2019;14350
May 08 2019;14295
May 07 2019;14280
May 06 2019;14292,5
May 03 2019;14255
May 02 2019;14250
May 01 2019;14250
Apr 30 2019;14250
Apr 29 2019;14200
Apr 26 2019;14187,5
Apr 25 2019;14185
Apr 24 2019;14095
Apr 23 2019;14075
Apr 22 2019;14075
Apr 19 2019;14042,5
Apr 18 2019;14042,5
Apr 17 2019;14085
Apr 16 2019;14085
Apr 15 2019;14060
Apr 12 2019;14092,5
Apr 11 2019;14135
Apr 10 2019;14150
Apr 09 2019;14133
Apr 08 2019;14163
Apr 05 2019;14125
Apr 04 2019;14180
Apr 03 2019;14220
Apr 02 2019;14220
Apr 01 2019;14225
Mar 29 2019;14240
Mar 28 2019;14242
Mar 27 2019;14195
Mar 26 2019;14170
Mar 25 2019;14180
Mar 22 2019;14165
Mar 21 2019;14140
Mar 20 2019;14185
Mar 19 2019;14230
Mar 18 2019;14237,5
Mar 15 2019;14259
Mar 14 2019;14267
Mar 13 2019;14265
Mar 12 2019;14265
Mar 11 2019;14290
Mar 08 2019;14310
Mar 07 2019;14140
Mar 06 2019;14140
Mar 05 2019;14120
Mar 04 2019;14130
Mar 01 2019;14115
Feb 28 2019;14065
Feb 27 2019;14030
Feb 26 2019;13991
Feb 25 2019;14017,5
Feb 22 2019;14057,5
Feb 21 2019;14063
Feb 20 2019;14040
Feb 19 2019;14102
Feb 18 2019;14106,5
Feb 15 2019;14142,5
Feb 14 2019;14090
Feb 13 2019;14057,5
Feb 12 2019;14068,5
Feb 11 2019;14040
Feb 08 2019;13965
Feb 07 2019;13972,5
Feb 06 2019;13922
Feb 05 2019;13955
Feb 04 2019;13955
Feb 01 2019;13940
Jan 31 2019;13972,5
Jan 30 2019;14130
Jan 29 2019;14095
Jan 28 2019;14070
Jan 25 2019;14085
Jan 24 2019;14165
Jan 23 2019;14180
Jan 22 2019;14215
Jan 21 2019;14222,5
Jan 18 2019;14175
Jan 17 2019;14180
Jan 16 2019;14122,5
Jan 15 2019;14092,5
Jan 14 2019;14124
Jan 11 2019;14045
Jan 10 2019;14055
Jan 09 2019;14125
Jan 08 2019;14145
Jan 07 2019;14090
Jan 04 2019;14270
Jan 03 2019;14410
Jan 02 2019;14450
Jan 01 2019;14380
Dec 31 2018;14380
Dec 28 2018;14560
Dec 27 2018;14560
Dec 26 2018;14575
Dec 25 2018;14555
Dec 24 2018;14555
Dec 21 2018;14555
Dec 20 2018;14470
Dec 19 2018;14442,5
Dec 18 2018;14500
Dec 17 2018;14575
Dec 14 2018;14585
Dec 13 2018;14497,5
Dec 12 2018;14597,5
Dec 11 2018;14600
Dec 10 2018;14555
Dec 07 2018;14470
Dec 06 2018;14520
Dec 05 2018;14395
Dec 04 2018;14290
Dec 03 2018;14240
Nov 30 2018;14302,5
Nov 29 2018;14382,5
Nov 28 2018;14527,5
Nov 27 2018;14513,5
Nov 26 2018;14475
Nov 23 2018;14540
Nov 22 2018;14577,5
Nov 21 2018;14605
Nov 20 2018;14590
Nov 19 2018;14590
Nov 16 2018;14611,5
Nov 15 2018;14677,5
Nov 14 2018;14787
Nov 13 2018;14810
Nov 12 2018;14815
Nov 09 2018;14685
Nov 08 2018;14540
Nov 07 2018;14580
Nov 06 2018;14802,5
Nov 05 2018;14976
Nov 02 2018;14952,5
Nov 01 2018;15127,5
Oct 31 2018;15202,5
Oct 30 2018;15223
Oct 29 2018;15220
Oct 26 2018;15216,5
Oct 25 2018;15187,5
Oct 24 2018;15197
Oct 23 2018;15190
Oct 22 2018;15185
Oct 19 2018;15187,5
Oct 18 2018;15193,5
Oct 17 2018;15155
Oct 16 2018;15200
Oct 15 2018;15210
Oct 12 2018;15205
Oct 11 2018;15235
Oct 10 2018;15203
Oct 09 2018;15230
Oct 08 2018;15217,5
Oct 05 2018;15180
Oct 04 2018;15170
Oct 03 2018;15075
Oct 02 2018;15045
Oct 01 2018;14910
Sep 28 2018;14901,5
Sep 27 2018;14917
Sep 26 2018;14905
Sep 25 2018;14920
Sep 24 2018;14867,5
Sep 21 2018;14819
Sep 20 2018;14845
Sep 19 2018;14875
Sep 18 2018;14855
Sep 17 2018;14877,5
Sep 14 2018;14805
Sep 13 2018;14840
Sep 12 2018;14825
Sep 11 2018;14857
Sep 10 2018;14857
Sep 07 2018;14820
Sep 06 2018;14890
Sep 05 2018;14935
Sep 04 2018;14935
Sep 03 2018;14815
Aug 31 2018;14730
Aug 30 2018;14690
Aug 29 2018;14655
Aug 28 2018;14622
Aug 27 2018;14620
Aug 24 2018;14642
Aug 23 2018;14630
Aug 22 2018;14580
Aug 21 2018;14580
Aug 20 2018;14590
Aug 17 2018;14610
Aug 16 2018;14610
Aug 15 2018;14600
Aug 14 2018;14580
Aug 13 2018;14595
Aug 10 2018;14475
Aug 09 2018;14410
Aug 08 2018;14435
Aug 07 2018;14440
Aug 06 2018;14470
Aug 03 2018;14492,5
Aug 02 2018;14475
Aug 01 2018;14440
Jul 31 2018;14420
Jul 30 2018;14410
Jul 27 2018;14417,5
Jul 26 2018;14460
Jul 25 2018;14460
Jul 24 2018;14530
Jul 23 2018;14490
Jul 20 2018;14480
Jul 19 2018;14475
Jul 18 2018;14405
Jul 17 2018;14370
Jul 16 2018;14375
Jul 13 2018;14380
Jul 12 2018;14380
Jul 11 2018;14385
Jul 10 2018;14360
Jul 09 2018;14325
Jul 06 2018;14370
Jul 05 2018;14385
Jul 04 2018;14352
Jul 03 2018;14380
Jul 02 2018;14380
Jun 29 2018;14330
Jun 28 2018;14390
Jun 27 2018;14178
Jun 26 2018;14178
Jun 25 2018;14155
Jun 22 2018;14080
Jun 21 2018;14103
Jun 20 2018;13930
Jun 19 2018;13930
Jun 18 2018;13930
Jun 15 2018;13930
