,Date,IDR,USD,Euro,GBP,RMB,Gold/Silver,Nikkei 225,IHSG,Hang Seng,Nasdaq,USD/IDR,AUD/USD
0,Jan 05 2001,2539630.57,267.4,280.97,178.76,2213.4,58.67,13867.61,418.82,15447.61,2267.85,9507.5,0.5724
1,Jan 09 2001,2534497.5,267.0,283.86,179.04,2209.99,58.61,13610.51,415.27,15500.59,2311.4,9490.0,0.5638
2,Jan 10 2001,2539834.39,266.3,283.06,178.64,2204.14,58.2,13432.65,417.52,15435.79,2413.71,9535.0,0.556
3,Jan 11 2001,2545084.31,264.15,278.08,176.82,2186.29,57.8,13201.07,410.38,15090.77,2524.29,9625.0,0.5612
4,Jan 12 2001,2531651.38,263.7,277.93,178.31,2182.59,57.07,13347.74,407.37,15295.42,2506.05,9610.0,0.5569
5,Jan 16 2001,2512274.54,264.45,281.06,179.82,2188.75,56.31,13584.45,415.09,15363.15,2470.72,9445.0,0.5551
6,Jan 17 2001,2490075.0,263.5,283.21,178.87,2180.83,55.87,13667.63,414.67,15261.48,2558.67,9450.0,0.5533
7,Jan 18 2001,2503304.08,264.9,280.47,179.51,2192.42,55.22,13873.92,416.35,15528.75,2670.47,9400.0,0.5591
8,Jan 19 2001,2503304.08,264.9,283.28,180.34,2192.42,55.64,13989.12,411.56,15933.55,2655.68,9475.0,0.5571
9,Jan 22 2001,2501809.08,266.15,284.53,182.22,2203.24,55.73,14032.42,417.91,16099.27,2643.13,9400.0,0.5565
10,Jan 23 2001,2501338.62,266.1,283.3,180.89,2202.93,55.65,13984.66,415.74,16044.21,2730.05,9400.0,0.5524
11,Jan 29 2001,2483931.12,262.85,286.17,180.38,2176.03,54.71,13845.28,413.05,16099.82,2694.53,9425.0,0.5432
12,Jan 30 2001,2501127.54,264.95,286.59,181.4,2193.41,55.27,13826.65,416.32,15893.07,2686.14,9440.0,0.549
13,Jan 31 2001,2499525.0,264.5,284.41,181.03,2189.56,55.5,13843.55,425.61,16102.35,2593.0,9450.0,0.5512
14,Feb 01 2001,2553380.07,267.65,284.64,181.03,2215.39,56.09,13779.55,430.58,16163.99,2607.16,9540.0,0.5533
15,Feb 02 2001,2546984.53,266.7,285.73,181.6,2207.58,56.08,13703.63,451.98,16071.29,2472.18,9550.0,0.5528
16,Feb 05 2001,2561592.03,265.45,282.39,179.94,2197.13,56.62,13385.52,458.95,15830.84,2467.3,9550.0,0.5499
17,Feb 06 2001,2531114.03,262.7,282.02,179.93,2174.26,56.58,13269.85,450.11,15913.24,2473.24,9562.5,0.5482
18,Feb 07 2001,2538343.96,263.15,282.17,180.04,2177.96,57.0,13366.01,444.33,16049.47,2409.66,9650.0,0.5455
19,Feb 08 2001,2537335.55,262.95,286.22,181.93,2176.25,57.21,13138.23,440.78,15909.4,2355.67,9650.0,0.5353
20,Feb 09 2001,2493089.81,259.9,281.19,179.63,2151.04,57.29,13422.83,427.91,15873.28,2261.77,9625.0,0.5366
21,Feb 13 2001,2505807.5,260.75,283.02,179.59,2158.1,57.23,13274.7,426.17,15842.72,2208.4,9610.0,0.5338
22,Feb 14 2001,2499050.63,260.25,283.34,178.22,2153.93,57.5,13284.06,423.21,15860.42,2305.82,9600.0,0.5294
23,Feb 15 2001,2482078.13,258.55,286.13,178.29,2140.07,56.52,13327.39,440.22,15756.37,2371.04,9600.0,0.5238
24,Feb 16 2001,2484392.03,257.45,281.12,177.35,2130.91,57.67,13175.49,432.08,15630.31,2212.51,9651.0,0.5282
25,Feb 20 2001,2463459.38,256.25,281.93,177.38,2120.9,57.84,13248.36,433.68,15527.36,2095.11,9660.0,0.5242
26,Feb 21 2001,2477278.75,257.5,282.28,178.18,2131.38,58.5,13100.08,439.9,15351.51,2058.54,9625.0,0.5241
27,Feb 22 2001,2493759.49,258.85,285.14,178.91,2142.47,58.48,13073.36,437.03,15098.64,2032.42,9625.0,0.525
28,Feb 23 2001,2522457.78,260.45,286.74,179.76,2155.85,58.9,13246.0,438.65,15280.56,2056.06,9660.0,0.5263
29,Feb 26 2001,2593177.52,263.2,289.33,182.59,2178.66,59.97,13201.14,432.15,15230.22,2097.64,9850.0,0.5232
30,Feb 27 2001,2645436.07,268.3,292.04,186.05,2221.01,60.55,13059.86,433.31,14834.73,1964.52,9855.0,0.5257
31,Feb 28 2001,2627661.27,266.7,290.02,184.92,2207.82,59.65,12883.54,428.3,14787.87,1908.32,9865.0,0.5262
32,Mar 01 2001,2626209.56,266.35,286.49,183.11,2204.79,60.24,12681.66,424.03,14360.56,1968.02,9875.0,0.5282
33,Mar 02 2001,2598111.05,263.1,281.24,178.48,2177.99,59.45,12261.8,426.13,13966.43,1881.34,9875.0,0.5295
34,Mar 06 2001,2587076.55,261.85,281.44,178.46,2167.54,58.86,12687.74,431.52,14321.05,1976.31,9880.0,0.5193
35,Mar 07 2001,2573917.79,260.65,281.08,178.36,2157.48,58.96,12723.89,430.55,14177.36,1996.23,9885.0,0.5092
36,Mar 08 2001,2616725.28,263.65,282.92,179.56,2182.23,59.08,12650.56,428.04,14208.95,1938.15,9925.0,0.5111
37,Mar 09 2001,2739817.02,269.8,289.52,183.81,2233.24,60.39,12627.9,414.11,14194.35,1813.02,10155.0,0.5091
38,Mar 12 2001,2861250.0,272.5,293.26,185.87,2255.86,61.52,12171.37,396.61,13776.72,1680.64,10500.0,0.5092
39,Mar 13 2001,2770421.74,269.3,293.58,185.4,2229.34,60.3,11819.7,385.91,13493.03,1789.7,10287.5,0.5044
40,Mar 14 2001,2680714.51,263.85,289.4,182.17,2184.1,58.98,11843.59,389.19,13330.84,1745.08,10160.0,0.4956
41,Mar 15 2001,2620498.05,262.05,289.05,181.48,2169.14,59.78,12152.83,386.86,13504.17,1697.92,9925.0,0.4919
42,Mar 16 2001,2689120.0,260.7,290.73,182.33,2157.84,60.03,12232.98,380.51,13522.04,1647.51,10315.0,0.4949
43,Mar 19 2001,2717013.36,260.55,290.14,182.71,2156.62,60.2,12190.97,367.14,13457.69,1730.46,10428.0,0.4987
