Date,IDR,USD,Euro,GBP,RMB,IHSG,Hang Seng,Nasdaq,USD/IDR
Jan 05 2001,2539630.57,267.04,280.97,178.76,2213.04,418.82,15447.61,2267.85,9507.05
Jan 09 2001,2534497.5,267,283.86,179.04,2209.99,415.27,15500.59,2311.04,9490
Jan 10 2001,2539834.39,266.03,283.06,178.64,2204.14,417.52,15435.79,2413.71,9535
Jan 11 2001,2545084.31,264.15,278.08,176.82,2186.29,410.38,15090.77,2524.29,9625
Jan 12 2001,2531651.38,263.07,277.93,178.31,2182.59,407.37,15295.42,2506.05,9610
Jan 16 2001,2512274.54,264.45,281.06,179.82,2188.75,415.09,15363.15,2470.72,9445
Jan 17 2001,2490075.0,263.05,283.21,178.87,2180.83,414.67,15261.48,2558.67,9450
Jan 18 2001,2503304.08,264.09,280.47,179.51,2192.42,416.35,15528.75,2670.47,9400
Jan 19 2001,2503304.08,264.09,283.28,180.34,2192.42,411.56,15933.55,2655.68,9475
Jan 22 2001,2501809.08,266.15,284.53,182.22,2203.24,417.91,16099.27,2643.13,9400
Jan 23 2001,2501338.62,266.01,283.03,180.89,2202.93,415.74,16044.21,2730.05,9400
Jan 29 2001,2483931.12,262.85,286.17,180.38,2176.03,413.05,16099.82,2694.53,9425
Jan 30 2001,2501127.54,264.95,286.59,181.04,2193.41,416.32,15893.07,2686.14,9440
Jan 31 2001,2499525.0,264.05,284.41,181.03,2189.56,425.61,16102.35,2593,9450
Feb 01 2001,2553380.07,267.65,284.64,181.03,2215.39,430.58,16163.99,2607.16,9540
Feb 02 2001,2546984.53,266.07,285.73,181.06,2207.58,451.98,16071.29,2472.18,9550
Feb 05 2001,2561592.03,265.45,282.39,179.94,2197.13,458.95,15830.84,2467.03,9550
Feb 06 2001,2531114.03,262.07,282.02,179.93,2174.26,450.11,15913.24,2473.24,9562.05
Feb 07 2001,2538343.96,263.15,282.17,180.04,2177.96,444.33,16049.47,2409.66,9650
Feb 08 2001,2537335.55,262.95,286.22,181.93,2176.25,440.78,15909.4,2355.67,9650
Feb 09 2001,2493089.81,259.09,281.19,179.63,2151.04,427.91,15873.28,2261.77,9625
Feb 13 2001,2505807.5,260.75,283.02,179.59,2158.01,426.17,15842.72,2208.04,9610
Feb 14 2001,2499050.63,260.25,283.34,178.22,2153.93,423.21,15860.42,2305.82,9600
Feb 15 2001,2482078.13,258.55,286.13,178.29,2140.07,440.22,15756.37,2371.04,9600
Feb 16 2001,2484392.03,257.45,281.12,177.35,2130.91,432.08,15630.31,2212.51,9651
Feb 20 2001,2463459.38,256.25,281.93,177.38,2120.09,433.68,15527.36,2095.11,9660
Feb 21 2001,2477278.75,257.05,282.28,178.18,2131.38,439.09,15351.51,2058.54,9625
Feb 22 2001,2493759.49,258.85,285.14,178.91,2142.47,437.03,15098.64,2032.42,9625
Feb 23 2001,2522457.78,260.45,286.74,179.76,2155.85,438.65,15280.56,2056.06,9660
Feb 26 2001,2593177.52,263.02,289.33,182.59,2178.66,432.15,15230.22,2097.64,9850
