,IDR,USD,Euro,GBP,RMB,Gold/Silver,Nikkei 225,IHSG,Hang Seng,Nasdaq,USD/IDR,AUD/USD
IDR,1.0,0.9242775550870695,0.9694185259769085,0.9707462104780333,0.9320272922729955,0.4673439847239901,0.6272546081382628,0.9248600203803296,0.7988301329432973,0.8685204723695427,0.7762570873195418,0.3019902117404336
USD,0.9242775550870695,1.0,0.9729643921077561,0.9704112670107196,0.9919474383525954,0.16840799683412222,0.36536890976041725,0.8562760270237108,0.7621049142384476,0.6505990377156509,0.49647303399564097,0.6030681629421554
Euro,0.9694185259769085,0.9729643921077561,1.0,0.9920159012444811,0.973638660518371,0.3301227677967443,0.4862917837965787,0.8991386094876004,0.7575469255643945,0.7620666736948273,0.6395006832865425,0.429215278708743
GBP,0.9707462104780333,0.9704112670107196,0.9920159012444811,1.0,0.9766468775747174,0.35009455688534585,0.4780949021426791,0.8907496618224905,0.7551795043679853,0.775619895632394,0.6392599467221263,0.4168355676847715
RMB,0.9320272922729955,0.9919474383525954,0.973638660518371,0.9766468775747174,1.0,0.19784710909584943,0.40215530984366643,0.845715569800671,0.7651985998413662,0.6876918077420535,0.5103504698241536,0.56544535389236
Gold/Silver,0.4673439847239901,0.16840799683412222,0.3301227677967443,0.35009455688534585,0.19784710909584943,1.0,0.527003173319277,0.40588916330010893,0.22974161465281973,0.6500544235515775,0.7554599448330017,-0.5290888788614754
Nikkei 225,0.6272546081382628,0.36536890976041725,0.4862917837965787,0.4780949021426791,0.40215530984366643,0.527003173319277,1.0,0.6878896801910737,0.7059782409515443,0.8470373994076194,0.8172352202798567,-0.18687461945719794
IHSG,0.9248600203803296,0.8562760270237108,0.8991386094876004,0.8907496618224905,0.845715569800671,0.40588916330010893,0.6878896801910737,1.0,0.892401292944657,0.8028671154696164,0.7631247196133978,0.35485417903984506
Hang Seng,0.7988301329432973,0.7621049142384476,0.7575469255643945,0.7551795043679853,0.7651985998413662,0.22974161465281973,0.7059782409515443,0.892401292944657,1.0,0.7057576393254542,0.6217742867373302,0.44330232394419194
Nasdaq,0.8685204723695427,0.6505990377156509,0.7620666736948273,0.775619895632394,0.6876918077420535,0.6500544235515775,0.8470373994076194,0.8028671154696164,0.7057576393254542,1.0,0.8706713062615274,-0.08261766657603481
USD/IDR,0.7762570873195418,0.49647303399564097,0.6395006832865425,0.6392599467221263,0.5103504698241536,0.7554599448330017,0.8172352202798567,0.7631247196133978,0.6217742867373302,0.8706713062615274,1.0,-0.25224495432363986
AUD/USD,0.3019902117404336,0.6030681629421554,0.429215278708743,0.4168355676847715,0.56544535389236,-0.5290888788614754,-0.18687461945719794,0.35485417903984506,0.44330232394419194,-0.08261766657603481,-0.25224495432363986,1.0
