Date;Gold/Silver
Dec 31 2020;71,96
Dec 30 2020;71,10
Dec 29 2020;71,78
Dec 28 2020;71,09
Dec 27 2020;72,31
Dec 25 2020;72,79
Dec 24 2020;72,79
Dec 23 2020;73,27
Dec 22 2020;73,41
Dec 21 2020;71,55
Dec 20 2020;72,83
Dec 18 2020;72,90
Dec 17 2020;72,69
Dec 16 2020;73,53
Dec 15 2020;75,66
Dec 14 2020;76,62
Dec 13 2020;76,73
Dec 11 2020;76,85
Dec 10 2020;76,58
Dec 09 2020;76,78
Dec 08 2020;76,15
Dec 07 2020;76,00
Dec 06 2020;76,10
Dec 04 2020;76,00
Dec 03 2020;76,54
Dec 02 2020;76,13
Dec 01 2020;76,01
Nov 30 2020;78,49
Nov 29 2020;78,85
Nov 27 2020;78,92
Nov 26 2020;77,96
Nov 25 2020;77,41
Nov 24 2020;77,69
Nov 23 2020;78,02
Nov 22 2020;77,34
Nov 20 2020;77,42
Nov 19 2020;77,73
Nov 18 2020;77,04
Nov 17 2020;76,86
Nov 16 2020;76,32
Nov 15 2020;76,57
Nov 13 2020;76,59
Nov 12 2020;77,30
Nov 11 2020;76,96
Nov 10 2020;77,61
Nov 09 2020;77,18
Nov 08 2020;75,51
Nov 06 2020;76,19
Nov 05 2020;77,36
Nov 04 2020;79,53
Nov 03 2020;78,45
Nov 02 2020;78,72
Nov 01 2020;80,05
Oct 30 2020;79,46
Oct 29 2020;80,14
Oct 28 2020;80,18
Oct 27 2020;78,34
Oct 26 2020;78,34
Oct 25 2020;77,64
Oct 23 2020;77,30
Oct 22 2020;77,14
Oct 21 2020;76,95
Oct 20 2020;77,15
Oct 19 2020;77,94
Oct 18 2020;78,53
Oct 16 2020;78,64
Oct 15 2020;78,65
Oct 14 2020;78,50
Oct 13 2020;78,32
Oct 12 2020;76,48
Oct 11 2020;76,54
Oct 09 2020;76,78
Oct 08 2020;79,40
Oct 07 2020;79,32
Oct 06 2020;80,71
Oct 05 2020;78,51
Oct 04 2020;79,60
Oct 02 2020;80,08
Oct 01 2020;79,93
Sep 30 2020;80,83
Sep 29 2020;78,19
Sep 28 2020;79,23
Sep 27 2020;81,01
Sep 25 2020;81,30
Sep 24 2020;80,43
Sep 23 2020;84,61
Sep 22 2020;77,90
Sep 21 2020;76,56
Sep 20 2020;72,89
Sep 18 2020;72,85
Sep 17 2020;71,99
Sep 16 2020;72,16
Sep 15 2020;72,01
Sep 14 2020;72,04
Sep 13 2020;72,51
Sep 11 2020;72,58
Sep 10 2020;72,44
Sep 09 2020;72,17
Sep 08 2020;72,51
Sep 07 2020;71,86
Sep 06 2020;72,07
Sep 04 2020;71,84
Sep 03 2020;72,94
Sep 02 2020;70,60
Sep 01 2020;69,69
Aug 31 2020;69,96
Aug 30 2020;70,60
Aug 28 2020;71,46
Aug 27 2020;71,54
Aug 26 2020;71,22
Aug 25 2020;72,80
Aug 24 2020;72,47
Aug 23 2020;72,86
Aug 21 2020;72,46
Aug 20 2020;71,13
Aug 19 2020;72,19
Aug 18 2020;71,77
Aug 17 2020;72,56
Aug 16 2020;73,82
Aug 14 2020;73,58
Aug 13 2020;71,28
Aug 12 2020;74,94
Aug 11 2020;76,66
Aug 10 2020;69,84
Aug 09 2020;72,00
Aug 07 2020;71,89
Aug 06 2020;69,50
Aug 05 2020;75,76
Aug 04 2020;77,39
Aug 03 2020;81,49
Aug 02 2020;80,93
Jul 31 2020;81,09
Jul 30 2020;83,27
Jul 29 2020;81,13
Jul 28 2020;80,63
Jul 27 2020;77,00
Jul 26 2020;83,00
Jul 24 2020;83,52
Jul 23 2020;83,53
Jul 22 2020;81,90
Jul 21 2020;82,36
Jul 20 2020;91,27
Jul 19 2020;93,49
Jul 17 2020;93,59
Jul 16 2020;93,83
Jul 15 2020;93,19
Jul 14 2020;93,81
Jul 13 2020;94,27
Jul 12 2020;95,79
Jul 10 2020;96,13
Jul 09 2020;96,60
Jul 08 2020;96,74
Jul 07 2020;98,20
Jul 06 2020;97,50
Jul 05 2020;98,44
Jul 03 2020;98,43
Jul 02 2020;98,96
Jul 01 2020;98,17
Jun 30 2020;98,01
Jun 29 2020;99,26
Jun 28 2020;99,38
Jun 26 2020;99,55
Jun 25 2020;99,33
Jun 24 2020;100,61
Jun 23 2020;98,40
Jun 22 2020;98,58
Jun 21 2020;98,40
Jun 19 2020;99,00
Jun 18 2020;98,95
Jun 17 2020;98,73
Jun 16 2020;98,71
Jun 15 2020;99,18
Jun 14 2020;98,96
Jun 12 2020;98,98
Jun 11 2020;97,96
Jun 10 2020;96,54
Jun 09 2020;97,48
Jun 08 2020;95,84
Jun 07 2020;96,51
Jun 05 2020;96,71
Jun 04 2020;96,90
Jun 03 2020;96,29
Jun 02 2020;95,63
Jun 01 2020;95,02
May 31 2020;96,32
May 29 2020;96,78
May 28 2020;98,84
May 27 2020;99,19
May 26 2020;99,83
May 25 2020;101,02
May 24 2020;100,86
May 22 2020;100,78
May 21 2020;101,11
May 20 2020;99,92
May 19 2020;100,37
May 18 2020;101,44
May 17 2020;103,99
May 15 2020;104,74
May 14 2020;109,15
May 13 2020;110,18
May 12 2020;110,20
May 11 2020;109,90
May 10 2020;109,64
May 08 2020;110,04
May 07 2020;112,36
May 06 2020;113,35
May 05 2020;113,96
May 04 2020;114,81
May 03 2020;114,17
May 01 2020;113,55
Apr 30 2020;112,82
Apr 29 2020;112,15
Apr 28 2020;112,60
Apr 27 2020;112,84
Apr 26 2020;113,20
Apr 24 2020;113,41
Apr 23 2020;113,43
Apr 22 2020;113,63
Apr 21 2020;113,43
Apr 20 2020;110,86
Apr 19 2020;111,01
Apr 17 2020;110,79
Apr 16 2020;110,77
Apr 15 2020;111,38
Apr 14 2020;110,13
Apr 13 2020;111,30
Apr 12 2020;109,84
Apr 10 2020;109,03
Apr 09 2020;109,03
Apr 08 2020;109,96
Apr 07 2020;110,08
Apr 06 2020;109,51
Apr 05 2020;112,38
Apr 03 2020;112,31
Apr 02 2020;111,54
Apr 01 2020;113,85
Mar 31 2020;113,05
Mar 30 2020;115,36
Mar 29 2020;113,20
Mar 27 2020;112,69
Mar 26 2020;113,03
Mar 25 2020;111,91
Mar 24 2020;111,60
Mar 23 2020;113,74
Mar 22 2020;120,00
Mar 20 2020;118,85
Mar 19 2020;121,44
Mar 18 2020;121,98
Mar 17 2020;120,40
Mar 16 2020;115,80
Mar 15 2020;105,25
Mar 13 2020;103,63
Mar 12 2020;100,35
Mar 11 2020;97,79
Mar 10 2020;97,31
Mar 09 2020;98,47
Mar 08 2020;97,19
Mar 06 2020;96,49
Mar 05 2020;95,72
Mar 04 2020;95,29
Mar 03 2020;95,32
Mar 02 2020;94,66
Mar 01 2020;95,72
Feb 28 2020;95,07
Feb 27 2020;92,47
Feb 26 2020;91,71
Feb 25 2020;90,80
Feb 24 2020;88,87
Feb 23 2020;89,16
Feb 21 2020;88,88
Feb 20 2020;88,07
Feb 19 2020;87,50
Feb 18 2020;88,12
Feb 17 2020;88,94
Feb 16 2020;89,22
Feb 14 2020;89,29
Feb 13 2020;89,30
Feb 12 2020;89,58
Feb 11 2020;88,87
Feb 10 2020;88,49
Feb 09 2020;88,72
Feb 07 2020;88,74
Feb 06 2020;87,90
Feb 05 2020;88,29
Feb 04 2020;88,26
Feb 03 2020;89,21
Feb 02 2020;87,90
Jan 31 2020;88,11
Jan 30 2020;88,30
Jan 29 2020;89,74
Jan 28 2020;89,72
Jan 27 2020;87,42
Jan 26 2020;86,92
Jan 24 2020;86,79
Jan 23 2020;87,83
Jan 22 2020;87,35
Jan 21 2020;87,65
Jan 20 2020;86,38
Jan 19 2020;86,32
Jan 17 2020;86,34
Jan 16 2020;86,46
Jan 15 2020;86,39
Jan 14 2020;86,89
Jan 13 2020;86,19
Jan 12 2020;86,35
Jan 10 2020;86,28
Jan 09 2020;86,68
Jan 08 2020;85,94
Jan 07 2020;85,79
Jan 06 2020;86,29
Jan 05 2020;86,32
Jan 03 2020;85,98
Jan 02 2020;84,80
Jan 01 2020;84,94
Dec 31 2019;84,88
Dec 30 2019;84,56
Dec 29 2019;84,95
Dec 27 2019;85,06
Dec 26 2019;84,34
Dec 25 2019;84,38
Dec 24 2019;84,38
