Date;IDR;USD;Euro;GBP;RMB
Sep 16 1999;2079187,45;255,90;246,01;157,58;2118,11
Sep 17 1999;2103299,42;255,10;245,19;157,15;2111,54
Sep 20 1999;2119819,95;255,40;245,32;157,52;2114,07
Sep 21 1999;2144571,04;258,85;247,09;158,69;2142,63
Sep 22 1999;2220461,18;263,40;250,79;160,80;2180,35
Sep 23 1999;2322974,34;264,35;253,40;161,26;2188,18
Sep 24 1999;2301750,00;270,00;257,95;164,43;2234,92
Sep 27 1999;2373888,26;281,10;269,15;170,91;2326,80
Sep 28 1999;2555212,50;301,50;287,14;182,76;2495,67
Sep 29 1999;2566520,00;307,00;289,40;186,77;2541,19
Sep 30 1999;2498145,00;299,00;280,75;181,56;2475,06
Oct 01 1999;2452312,50;307,50;287,41;185,74;2545,42
Oct 04 1999;2447268,75;312,75;292,29;189,06;2588,88
Oct 05 1999;2525880,00;325,50;304,72;196,92;2694,42
Oct 06 1999;2482350,00;318,25;297,24;192,11;2634,41
Oct 07 1999;2511977,50;323,50;301,41;195,72;2677,87
Oct 08 1999;2529431,25;323,25;304,15;195,49;2675,86
Oct 11 1999;2464151,25;317,75;298,64;192,31;2630,08
Oct 12 1999;2505956,25;320,25;298,49;193,55;2650,77
Oct 13 1999;2614218,75;321,75;298,97;194,65;2663,35
Oct 14 1999;2632200,00;321,00;297,72;193,72;2657,05
Oct 15 1999;2502318,75;315,75;290,10;189,08;2613,62
Oct 18 1999;2416062,50;311,75;287,38;186,76;2580,48
Oct 19 1999;2367675,00;309,50;286,65;185,38;2561,82
Oct 20 1999;2283312,50;307,00;284,87;184,16;2541,16
Oct 21 1999;2097235,24;302,85;280,18;180,70;2506,75
Oct 22 1999;2067659,33;302,40;282,83;181,80;2503,05
Oct 25 1999;2083800,00;302,00;282,85;181,65;2499,65
Oct 26 1999;2037749,33;296,40;279,91;179,21;2453,39
Oct 27 1999;1983344,00;290,60;276,00;176,42;2405,44
Oct 28 1999;2054493,75;296,25;281,74;180,68;2452,24
Oct 29 1999;2041356,50;299,10;284,56;182,28;2475,89
Nov 01 1999;1968068,26;291,35;277,66;177,41;2411,76
Nov 02 1999;1949478,75;290,75;277,09;176,58;2406,86
Nov 03 1999;1961340,00;291,00;277,65;176,98;2408,93
Nov 04 1999;1977532,00;290,60;278,22;177,31;2405,59
Nov 05 1999;1962717,17;289,70;278,24;178,40;2398,11
Nov 08 1999;1962982,50;288,25;277,94;178,25;2386,10
Nov 09 1999;1993091,25;290,75;279,46;179,28;2406,83
Nov 10 1999;2059898,75;295,75;283,42;181,92;2448,25
Nov 11 1999;2110480,00;296,00;284,45;182,43;2450,35
Nov 12 1999;2048943,75;291,25;282,25;180,45;2410,97
Nov 15 1999;2008663,83;290,90;282,24;179,56;2408,10
Nov 16 1999;2067106,25;294,25;285,46;181,85;2435,83
Nov 17 1999;2052612,82;293,65;282,55;180,71;2430,86
Nov 18 1999;2052262,98;293,60;284,58;181,59;2430,54
Nov 19 1999;2057718,75;293,75;285,39;181,64;2431,81
Nov 22 1999;2081993,31;294,90;285,53;181,89;2441,33
Nov 23 1999;2106016,25;297,25;288,79;182,78;2460,75
Nov 24 1999;2113737,50;297,50;291,75;184,44;2462,85
Nov 25 1999;2144003,30;298,40;292,69;184,75;2470,30
Nov 26 1999;2155129,94;296,85;293,42;184,90;2457,47
Nov 29 1999;2148037,50;292,25;290,36;182,54;2419,51
Nov 30 1999;2129767,43;291,35;289,35;182,93;2412,06
Dec 01 1999;2109348,54;289,15;286,88;181,01;2393,84
Dec 02 1999;2084940,00;286,00;285,00;178,85;2367,74
Dec 03 1999;2051351,25;282,75;282,35;176,56;2340,80
Dec 06 1999;1978255,45;276,10;270,00;170,66;2285,83
Dec 07 1999;2006411,25;279,25;273,03;171,96;2311,91
Dec 08 1999;2021434,90;280,95;274,18;172,81;2326,12
Dec 09 1999;2018565,00;279,00;274,12;171,80;2309,98
Dec 10 1999;2026993,92;280,65;276,12;172,96;2323,64
Dec 13 1999;2027772,50;279,50;276,29;172,15;2314,12
Dec 14 1999;2011996,25;279,25;277,69;172,90;2312,02
Dec 15 1999;1975751,37;280,05;279,05;174,16;2318,64
Dec 16 1999;1978916,62;280,30;275,32;173,81;2320,71
Dec 17 1999;2010360,56;284,15;281,48;176,59;2352,59
Dec 20 1999;2013911,25;284,25;281,85;177,12;2353,42
Dec 21 1999;2006111,25;282,75;280,26;175,58;2341,06
Dec 22 1999;2018823,75;285,75;283,48;177,82;2365,90
Dec 23 1999;2008225,63;287,30;282,91;177,80;2378,70
Dec 27 1999;2009662,13;287,30;283,87;177,62;2378,73
Dec 28 1999;2048447,61;287,30;285,22;177,93;2378,76
Dec 29 1999;2072661,80;290,90;289,54;179,89;2408,45
Dec 30 1999;2046262,50;290,25;289,56;180,09;2403,12
Jan 04 2000;1991612,50;281,50;273,25;172,12;2330,79
Jan 05 2000;2017837,40;280,45;271,31;171,09;2322,07
Jan 06 2000;2018664,29;279,40;269,98;169,56;2313,35
Jan 11 2000;2053368,75;282,25;274,08;171,35;2336,89
Jan 12 2000;2035022,50;282,25;274,75;171,46;2336,92
Jan 13 2000;2039581,94;282,10;274,63;171,06;2335,73
Jan 14 2000;2025593,60;283,30;279,83;173,23;2345,64
Jan 17 2000;2067359,69;285,35;283,00;174,89;2362,50
Jan 18 2000;2080622,58;285,80;282,72;174,52;2366,22
Jan 19 2000;2109912,03;287,65;284,83;175,36;2381,65
Jan 20 2000;2110331,43;288,10;285,36;174,79;2385,29
Jan 21 2000;2110646,25;287,75;285,75;174,32;2382,43
Jan 24 2000;2103739,64;287,20;286,54;173,83;2377,70
Jan 25 2000;2113920,00;288,00;286,14;174,60;2384,24
Jan 26 2000;2129954,27;285,90;285,56;174,28;2366,74
Jan 27 2000;2110213,06;285,55;288,90;174,40;2363,87
Jan 28 2000;2136287,50;286,75;292,63;177,06;2373,74
Jan 31 2000;2102084,55;283,30;289,55;174,78;2345,07
