Date;Nasdaq
Dec 31 2020;12888,28
Dec 30 2020;12845,36
Dec 29 2020;12843,49
Dec 28 2020;12838,86
Dec 24 2020;12711,01
Dec 23 2020;12653,14
Dec 22 2020;12717,56
Dec 21 2020;12690,26
Dec 18 2020;12738,18
Dec 17 2020;12752,06
Dec 16 2020;12668,16
Dec 15 2020;12595,92
Dec 14 2020;12462,21
Dec 11 2020;12375,41
Dec 10 2020;12401,74
Dec 09 2020;12364,64
Dec 08 2020;12635,72
Dec 07 2020;12596,47
Dec 04 2020;12528,48
Dec 03 2020;12467,13
Dec 02 2020;12456,41
Dec 01 2020;12455,33
Nov 30 2020;12268,32
Nov 27 2020;12258,21
Nov 25 2020;12152,21
Nov 24 2020;12079,81
Nov 23 2020;11905,94
Nov 20 2020;11906,44
Nov 19 2020;11985,43
Nov 18 2020;11894,71
Nov 17 2020;11977,49
Nov 16 2020;12013,38
Nov 13 2020;11937,84
Nov 12 2020;11827,14
Nov 11 2020;11892,93
Nov 10 2020;11624,29
Nov 09 2020;11830,38
Nov 06 2020;12091,35
Nov 05 2020;12078,07
Nov 04 2020;11777,02
Nov 03 2020;11279,91
Nov 02 2020;11084,76
Oct 30 2020;11052,95
Oct 29 2020;11350,74
Oct 28 2020;11142,76
Oct 27 2020;11598,95
Oct 26 2020;11504,52
Oct 23 2020;11692,57
Oct 22 2020;11662,91
Oct 21 2020;11665,37
Oct 20 2020;11677,84
Oct 19 2020;11634,35
Oct 16 2020;11852,17
Oct 15 2020;11898,57
Oct 14 2020;11985,36
Oct 13 2020;12083,17
Oct 12 2020;12088,11
Oct 09 2020;11725,85
Oct 08 2020;11550,94
Oct 07 2020;11503,19
Oct 06 2020;11291,27
Oct 05 2020;11509,06
Oct 02 2020;11255,69
Oct 01 2020;11583,20
Sep 30 2020;11418,06
Sep 29 2020;11322,95
Sep 28 2020;11364,45
Sep 25 2020;11151,13
Sep 24 2020;10896,47
Sep 23 2020;10833,33
Sep 22 2020;11186,37
Sep 21 2020;10980,22
Sep 18 2020;10936,98
Sep 17 2020;11080,95
Sep 16 2020;11247,60
Sep 15 2020;11438,87
Sep 14 2020;11277,76
Sep 11 2020;11087,40
Sep 10 2020;11154,12
Sep 09 2020;11395,85
Sep 08 2020;11068,26
Sep 04 2020;11622,13
Sep 03 2020;11771,37
Sep 02 2020;12420,54
Sep 01 2020;12292,86
Aug 31 2020;12110,70
Aug 28 2020;11995,86
Aug 27 2020;11926,16
Aug 26 2020;11971,94
Aug 25 2020;11721,80
Aug 24 2020;11626,17
Aug 21 2020;11555,16
Aug 20 2020;11477,05
Aug 19 2020;11318,64
Aug 18 2020;11399,03
Aug 17 2020;11288,57
Aug 14 2020;11164,45
Aug 13 2020;11178,37
Aug 12 2020;11157,72
Aug 11 2020;10876,08
Aug 10 2020;11085,17
Aug 07 2020;11139,39
Aug 06 2020;11267,08
Aug 05 2020;11125,44
Aug 04 2020;11096,54
Aug 03 2020;11055,08
Jul 31 2020;10905,88
Jul 30 2020;10715,51
Jul 29 2020;10662,98
Jul 28 2020;10532,50
Jul 27 2020;10674,38
Jul 24 2020;10483,13
Jul 23 2020;10580,59
Jul 22 2020;10870,75
Jul 21 2020;10833,07
Jul 20 2020;10952,08
Jul 17 2020;10645,22
Jul 16 2020;10626,46
Jul 15 2020;10701,68
Jul 14 2020;10689,52
Jul 13 2020;10602,21
Jul 10 2020;10836,33
Jul 09 2020;10754,59
Jul 08 2020;10666,70
Jul 07 2020;10524,01
Jul 06 2020;10604,06
Jul 02 2020;10341,89
Jul 01 2020;10279,25
Jun 30 2020;10156,85
Jun 29 2020;9961,16
Jun 26 2020;9849,36
Jun 25 2020;10101,83
Jun 24 2020;10002,70
Jun 23 2020;10209,82
Jun 22 2020;10130,33
Jun 19 2020;10008,64
Jun 18 2020;10012,05
Jun 17 2020;9982,48
Jun 16 2020;9949,37
Jun 15 2020;9776,89
Jun 12 2020;9663,78
Jun 11 2020;9588,48
Jun 10 2020;10094,26
Jun 09 2020;9967,17
Jun 08 2020;9901,52
Jun 05 2020;9824,39
Jun 04 2020;9629,66
Jun 03 2020;9704,69
Jun 02 2020;9657,31
Jun 01 2020;9598,89
May 29 2020;9555,53
May 28 2020;9416,71
May 27 2020;9442,05
May 26 2020;9389,98
May 22 2020;9413,99
May 21 2020;9377,99
May 20 2020;9485,02
May 19 2020;9298,54
May 18 2020;9331,93
May 15 2020;9152,64
May 14 2020;9094,42
May 13 2020;9000,08
May 12 2020;9112,45
May 11 2020;9298,92
May 08 2020;9220,35
May 07 2020;9101,88
May 06 2020;8984,86
May 05 2020;8930,62
May 04 2020;8834,11
May 01 2020;8718,18
Apr 30 2020;9000,51
Apr 29 2020;8982,76
Apr 28 2020;8677,60
Apr 27 2020;8837,66
Apr 24 2020;8786,60
Apr 23 2020;8641,50
Apr 22 2020;8664,63
Apr 21 2020;8403,00
Apr 20 2020;8726,51
Apr 17 2020;8832,41
Apr 16 2020;8757,83
Apr 15 2020;8591,96
Apr 14 2020;8692,16
Apr 13 2020;8332,74
Apr 09 2020;8238,53
Apr 08 2020;8229,54
Apr 07 2020;8049,31
Apr 06 2020;8081,66
Apr 03 2020;7528,11
Apr 02 2020;7635,66
Apr 01 2020;7486,29
Mar 31 2020;7813,50
Mar 30 2020;7889,01
Mar 27 2020;7588,37
Mar 26 2020;7897,13
Mar 25 2020;7469,62
Mar 24 2020;7553,83
Mar 23 2020;7006,92
Mar 20 2020;6994,29
Mar 19 2020;7288,52
Mar 18 2020;7175,18
Mar 17 2020;7473,95
Mar 16 2020;7020,38
Mar 13 2020;7995,26
Mar 12 2020;7263,65
Mar 11 2020;8006,12
Mar 10 2020;8372,26
Mar 09 2020;7948,03
Mar 06 2020;8530,34
Mar 05 2020;8671,66
Mar 04 2020;8949,28
Mar 03 2020;8594,49
Mar 02 2020;8877,98
Feb 28 2020;8461,83
Feb 27 2020;8436,67
Feb 26 2020;8873,76
Feb 25 2020;8834,87
Feb 24 2020;9079,63
Feb 21 2020;9446,69
Feb 20 2020;9627,83
Feb 19 2020;9718,73
Feb 18 2020;9629,80
Feb 14 2020;9623,58
Feb 13 2020;9595,70
Feb 12 2020;9613,20
Feb 11 2020;9517,86
Feb 10 2020;9516,84
Feb 07 2020;9401,10
Feb 06 2020;9445,92
Feb 05 2020;9367,48
Feb 04 2020;9334,05
Feb 03 2020;9126,23
Jan 31 2020;8991,51
Jan 30 2020;9136,09
Jan 29 2020;9101,61
Jan 28 2020;9090,93
Jan 27 2020;8952,18
Jan 24 2020;9141,47
Jan 23 2020;9216,98
Jan 22 2020;9188,58
Jan 21 2020;9166,63
Jan 17 2020;9173,73
Jan 16 2020;9125,00
Jan 15 2020;9035,67
Jan 14 2020;9033,42
Jan 13 2020;9070,65
Jan 10 2020;8966,64
Jan 09 2020;8989,63
Jan 08 2020;8912,37
Jan 07 2020;8846,45
Jan 06 2020;8848,51
Jan 03 2020;8793,90
Jan 02 2020;8872,22
Dec 31 2019;8733,07
Dec 30 2019;8709,73
Dec 27 2019;8770,98
Dec 26 2019;8778,31
Dec 24 2019;8699,51
Dec 23 2019;8696,01
Dec 20 2019;8678,49
Dec 19 2019;8641,29
Dec 18 2019;8580,62
Dec 17 2019;8575,70
Dec 16 2019;8570,33
Dec 13 2019;8487,71
Dec 12 2019;8466,89
Dec 11 2019;8402,61
Dec 10 2019;8354,29
Dec 09 2019;8362,74
Dec 06 2019;8397,37
Dec 05 2019;8308,40
Dec 04 2019;8296,53
Dec 03 2019;8254,74
Dec 02 2019;8309,26
Nov 29 2019;8403,68
Nov 27 2019;8444,71
Nov 26 2019;8385,75
Nov 25 2019;8371,93
Nov 22 2019;8272,05
Nov 21 2019;8265,62
Nov 20 2019;8283,75
Nov 19 2019;8338,74
Nov 18 2019;8328,48
Nov 15 2019;8315,52
Nov 14 2019;8257,83
Nov 13 2019;8259,81
Nov 12 2019;8263,79
Nov 11 2019;8241,91
Nov 08 2019;8255,89
Nov 07 2019;8219,65
Nov 06 2019;8196,03
Nov 05 2019;8210,17
Nov 04 2019;8210,66
Nov 01 2019;8161,17
Oct 31 2019;8083,83
Oct 30 2019;8083,11
Oct 29 2019;8047,51
Oct 28 2019;8110,67
Oct 25 2019;8029,22
Oct 24 2019;7966,72
Oct 23 2019;7889,47
Oct 22 2019;7874,62
Oct 21 2019;7940,33
Oct 18 2019;7868,49
Oct 17 2019;7942,14
Oct 16 2019;7920,21
Oct 15 2019;7942,85
