Date,Open,High,Low,Close,Adj Close,Volume
1996-08-09,14250000,16750000,14250000,16500000,253963057,1601500
1996-08-12,16500000,16750000,16375000,16500000,25344975,260900
1996-08-13,16500000,16750000,16375000,16375000,253983439,162800
1996-08-14,16375000,16625000,16375000,16375000,254508431,59500
1996-08-15,16625000,16625000,16375000,16625000,253165138,62300
1996-08-16,16375000,16625000,16375000,16375000,251227454,40600
1996-08-19,16375000,16750000,16375000,16750000,24900750,381500
1996-08-20,16750000,17250000,16500000,17250000,250330408,115000
1996-08-21,17250000,17625000,17000000,17625000,250330408,167600
1996-08-22,17625000,17875000,17375000,17875000,250180908,42400
1996-08-23,17625000,19000000,17625000,18750000,250133862,80300
1996-08-26,18750000,19500000,18500000,19125000,248393112,117800
1996-08-27,19500000,19750000,19250000,19500000,18110723,318700
1996-08-28,19750000,19875000,19000000,19000000,17646347,202600
1996-08-29,19000000,19250000,18500000,18500000,17181967,35600
1996-08-30,18875000,18875000,18125000,18250000,16949781,127500
1996-09-03,18250000,18250000,17500000,17750000,16485405,89900
1996-09-04,18000000,18500000,17750000,18250000,16949781,64100
1996-09-05,18500000,18500000,17375000,17625000,16369308,41800
1996-09-06,17625000,17875000,17500000,17750000,16485405,30200
1996-09-09,17500000,18000000,17500000,18000000,16717588,50100
1996-09-10,18000000,18500000,17625000,18125000,16833687,36400
1996-09-11,18375000,18375000,17875000,18000000,16717588,8200
1996-09-12,17875000,18625000,17875000,18375000,17065874,42100
1996-09-13,18625000,18875000,18250000,18750000,17414162,106400
1996-09-16,18500000,19625000,18500000,19625000,18226814,71700
1996-09-17,19750000,21000000,19375000,20750000,19271671,171300
1996-09-18,21500000,22750000,21125000,22750000,21129181,121600
1996-09-19,22500000,22625000,21500000,21500000,19968237,275800
1996-09-20,21250000,21250000,19250000,19500000,18110723,289400
1996-09-23,19625000,19625000,18625000,19000000,17646347,59900
1996-09-24,19000000,19000000,18625000,18625000,17298063,134900
1996-09-25,18625000,19125000,18625000,19000000,17646347,91600
1996-09-26,19125000,19750000,18875000,18875000,17530249,85300
1996-09-27,19250000,19250000,18750000,19000000,17646347,36800
1996-09-30,19250000,19250000,18750000,19250000,17878536,254700
1996-10-01,19250000,19625000,19000000,19250000,17878536,54000
1996-10-02,19250000,19750000,19250000,19625000,18226814,10000
1996-10-03,19750000,19750000,19250000,19250000,17878536,19300
1996-10-04,19750000,19750000,19250000,19750000,18342907,45400
1996-10-07,19375000,20375000,19375000,20375000,18923388,41500
1996-10-08,20375000,21750000,20375000,21750000,20200424,61100
1996-10-09,21375000,21750000,21250000,21750000,20200424,25700
1996-10-10,22000000,22750000,21750000,21875000,20316509,102500
1996-10-11,21875000,21875000,21500000,21875000,20316509,30700
1996-10-14,22000000,22375000,21875000,22250000,20664801,19100
1996-10-15,22125000,22375000,22000000,22125000,20548704,13900
1996-10-16,22000000,22250000,21375000,21500000,19968237,40200
1996-10-17,21625000,21750000,21250000,21500000,19968237,201200
1996-10-18,21500000,22000000,21500000,22000000,20432615,4600
1996-10-21,22250000,22250000,21750000,22000000,20432615,54000
1996-10-22,21750000,22125000,21750000,21750000,20200424,58900
1996-10-23,22125000,22125000,21750000,22125000,20548704,43400
1996-10-24,22125000,22625000,21875000,22500000,20896992,107500
1996-10-25,22750000,23250000,22750000,23125000,21477461,328500
1996-10-28,23250000,23250000,22750000,23250000,21593555,210800
1996-10-29,22750000,23250000,22750000,22750000,21129181,11900
1996-10-30,22750000,23500000,22750000,23250000,21593555,36300
1996-10-31,23000000,23000000,22500000,22625000,21013084,38700
1996-11-01,22875000,22875000,22375000,22500000,20896992,10100
1996-11-04,22750000,22750000,21625000,21625000,20084320,32200
1996-11-05,22125000,22125000,20750000,20875000,19387760,87300
1996-11-06,19875000,20250000,19750000,19875000,18459011,144800
1996-11-07,20000000,20250000,19750000,20250000,18807285,34700
1996-11-08,20375000,20375000,20000000,20000000,18575102,54000
1996-11-11,20000000,20375000,20000000,20375000,18923388,105800
1996-11-12,20000000,20375000,20000000,20000000,18575102,3400
1996-11-13,20375000,20375000,19500000,20000000,18575102,178700
1996-11-14,19500000,20000000,19500000,19750000,18342907,5700
1996-11-15,20000000,20000000,19500000,19750000,18342907,8900
1996-11-18,19500000,19750000,19500000,19750000,18342907,4100
1996-11-19,19500000,20000000,19500000,20000000,18575102,147100
1996-11-20,19625000,20000000,19625000,20000000,18575102,1500
1996-11-21,20000000,20000000,19250000,19500000,18110723,27100
1996-11-22,19625000,19625000,19125000,19250000,17878536,139000
1996-11-25,19625000,19625000,19250000,19625000,18226814,7000
1996-11-26,19250000,19625000,19250000,19625000,18226814,10100
1996-11-27,19625000,19625000,19250000,19250000,17878536,53300
1996-11-29,19250000,19250000,19250000,19250000,17878536,1000
1996-12-02,19625000,19625000,19375000,19375000,17994629,12700
1996-12-03,19625000,19625000,19125000,19125000,17762440,31900
1996-12-04,19625000,19625000,19125000,19125000,17762440,16300
1996-12-05,19625000,19625000,19125000,19250000,17878536,22900
1996-12-06,18750000,19250000,18750000,19250000,17878536,5100
1996-12-09,19250000,19250000,18875000,18875000,17530249,11400
1996-12-10,19250000,19250000,18875000,19250000,17878536,8600
1996-12-11,18812500,18875000,18625000,18875000,17530249,13900
1996-12-12,18625000,18875000,18625000,18875000,17530249,34200
1996-12-13,18875000,18875000,18750000,18875000,17530249,4100
1996-12-16,18875000,18875000,18625000,18750000,17414162,20600
1996-12-17,18375000,18875000,18375000,18875000,17530249,10000
1996-12-18,19125000,19125000,18625000,19000000,17646347,800
1996-12-19,19125000,19500000,19125000,19500000,18110723,15000
1996-12-20,19750000,19750000,19500000,19750000,18342907,12500
1996-12-23,19375000,19750000,19375000,19750000,18342907,3600
1996-12-24,19375000,19875000,19375000,19750000,18342907,6900
1996-12-26,19750000,20625000,19750000,20500000,19039478,10600
1996-12-27,20500000,21000000,20500000,21000000,19503860,5200
1996-12-30,21000000,21250000,20875000,21250000,19736048,13400
1996-12-31,21250000,22500000,21250000,22375000,20780895,24300
1997-01-02,22000000,23250000,22000000,23000000,21361366,26000
1997-01-03,23000000,23250000,22750000,23250000,21593555,8200
1997-01-06,23750000,23750000,23250000,23375000,21709648,22100
1997-01-07,23500000,23500000,23000000,23000000,21361366,8100
1997-01-08,22875000,23375000,22125000,22750000,21129181,35800
1997-01-09,23250000,23250000,22750000,23250000,21593555,39500
1997-01-10,23250000,23250000,22875000,23000000,21361366,5500
1997-01-13,22875000,23375000,22625000,22875000,21245272,28100
1997-01-14,22500000,23125000,22500000,23125000,21477461,12600
1997-01-15,23250000,24625000,22750000,24375000,22638407,57600
1997-01-16,24875000,26000000,24500000,25750000,23915443,35900
1997-01-17,25500000,25875000,25250000,25500000,23683254,17900
1997-01-20,25375000,25375000,24875000,25000000,23218880,41200
1997-01-21,25250000,25250000,24875000,25000000,23218880,47500
1997-01-22,25000000,25250000,24750000,24875000,23102776,24700
1997-01-23,24750000,24812500,24750000,24750000,22986689,500
1997-01-24,25000000,25250000,24750000,24750000,22986689,22700
1997-01-27,25250000,25250000,24750000,25250000,23451065,3300
1997-01-28,25250000,25250000,25250000,25250000,23451065,300
1997-01-29,24750000,25000000,24500000,24750000,22986689,53400
1997-01-30,24625000,24750000,23500000,23875000,22174023,30900
1997-01-31,23750000,23750000,23375000,23750000,22057932,28800
1997-02-03,23750000,23750000,23375000,23750000,22057932,1500
1997-02-04,23250000,23375000,22750000,22750000,21129181,12400
1997-02-05,23250000,23250000,22750000,23250000,21593555,3900
