Date;USD/IDR
Dec 30 2020;14050,00
Dec 29 2020;14110,00
Dec 28 2020;14140,00
Dec 23 2020;14150,00
Dec 22 2020;14145,00
Dec 21 2020;14100,00
Dec 18 2020;14080,00
Dec 17 2020;14085,00
Dec 16 2020;14090,00
Dec 15 2020;14090,00
Dec 14 2020;14070,00
Dec 11 2020;14070,00
Dec 10 2020;14090,00
Dec 08 2020;14080,00
Dec 07 2020;14080,00
Dec 04 2020;14085,00
Dec 03 2020;14100,00
Dec 02 2020;14090,00
Dec 01 2020;14100,00
Nov 30 2020;14090,00
Nov 27 2020;14070,00
Nov 26 2020;14090,00
Nov 25 2020;14130,00
Nov 24 2020;14140,00
Nov 23 2020;14130,00
Nov 20 2020;14150,00
Nov 19 2020;14140,00
Nov 18 2020;14050,00
Nov 17 2020;14030,00
Nov 16 2020;14100,00
Nov 13 2020;14150,00
Nov 12 2020;14140,00
Nov 11 2020;14070,00
Nov 10 2020;14040,00
Nov 09 2020;14050,00
Nov 06 2020;14190,00
Nov 05 2020;14370,00
Nov 04 2020;14540,00
Nov 03 2020;14570,00
Nov 02 2020;14625,00
Oct 27 2020;14620,00
Oct 26 2020;14630,00
Oct 23 2020;14650,00
Oct 22 2020;14640,00
Oct 21 2020;14610,00
Oct 20 2020;14650,00
Oct 19 2020;14670,00
Oct 16 2020;14670,00
Oct 15 2020;14660,00
Oct 14 2020;14680,00
Oct 13 2020;14680,00
Oct 12 2020;14680,00
Oct 09 2020;14675,00
Oct 08 2020;14685,00
Oct 07 2020;14690,00
Oct 06 2020;14710,00
Oct 05 2020;14790,00
Oct 02 2020;14830,00
Oct 01 2020;14820,00
Sep 30 2020;14840,00
Sep 29 2020;14845,00
Sep 28 2020;14850,00
Sep 25 2020;14845,00
Sep 24 2020;14845,00
Sep 23 2020;14780,00
Sep 22 2020;14750,00
Sep 21 2020;14690,00
Sep 18 2020;14730,00
Sep 17 2020;14820,00
Sep 16 2020;14825,00
Sep 15 2020;14835,00
Sep 14 2020;14860,00
Sep 11 2020;14860,00
Sep 10 2020;14820,00
Sep 09 2020;14780,00
Sep 08 2020;14760,00
Sep 07 2020;14730,00
Sep 04 2020;14740,00
Sep 03 2020;14760,00
Sep 02 2020;14740,00
Sep 01 2020;14565,00
Aug 31 2020;14560,00
Aug 28 2020;14615,00
Aug 27 2020;14650,00
Aug 26 2020;14670,00
